acc	ApApos2	ApAbridge	ApCpos2	ApCbridge	ApGpos1	ApGpos2	ApGbridge	ApTpos2	ApTbridge	CpApos2	CpAbridge	CpCpos2	CpCbridge	CpGpos1	CpGpos2	CpGbridge	CpTpos1	CpTpos2	CpTbridge	GpApos2	GpAbridge	GpCpos2	GpCbridge	GpGpos2	GpGbridge	GpTpos2	GpTbridge	TpApos2	TpAbridge	TpCpos1	TpCpos2	TpCbridge	TpGpos2	TpGbridge	TpTpos1	TpTpos2	TpTbridge
FJ866829	0.5	0.211645601	0.5625	0.164247573	0.411393692	0.5	0.331245428	0.4375	0.194800202	0.2641378	0.170332864	0.196254133	0.174005617	0.304347826	0.109222367	0.156540534	0.676470588	0.3246246	0.202633276	0.352242174	0.222502041	0.077730327	0.094615549	0.375241122	0.230183695	0.17995904	0.139172601	0.287438122	0.111782052	0.75	0.241907673	0.349807091	0.306057861	0.375200504	0.482995471	0.256767857	0.098009727
FJ866830	0.5	0.214141954	0.5625	0.154891162	0.427357814	0.5	0.351024815	0.4375	0.198840481	0.261074041	0.171034195	0.193977624	0.147038718	0.272727273	0.107956254	0.156421713	0.647058824	0.32085883	0.230210305	0.387809263	0.22871991	0.078219327	0.09477012	0.367503161	0.207411303	0.173024885	0.138348181	0.301090291	0.106274098	0.72972973	0.241596354	0.34726455	0.288840834	0.374893728	0.506374363	0.256604268	0.098235012
FJ866831	0.492537313	0.209181029	0.5625	0.161796217	0.420760607	0.507462687	0.353639522	0.4375	0.188890653	0.263006279	0.174675459	0.195412973	0.178443252	0.304347826	0.101389959	0.143604223	0.666666667	0.323232639	0.200090653	0.38165513	0.226149038	0.077404831	0.093343481	0.361716905	0.209012581	0.181765932	0.138420632	0.29606271	0.109643957	0.72972973	0.235629323	0.344067845	0.305719113	0.380749181	0.484176826	0.248199056	0.096966069
GQ472468	0.439393939	0.197254808	0.5625	0.132911043	0.429160954	0.560606061	0.402207912	0.4375	0.193983271	0.265982377	0.198346356	0.207094337	0.156363267	0.291666667	0.105720755	0.124916014	0.657142857	0.304120745	0.212683599	0.428492707	0.22344919	0.084406438	0.094376316	0.319425473	0.184314041	0.170736328	0.154562349	0.318655852	0.102688977	0.72972973	0.235980699	0.340678635	0.28958393	0.366857682	0.494151108	0.251674572	0.100940341
GQ472470	0.447761194	0.200481943	0.5625	0.13492039	0.42834499	0.552238806	0.380695644	0.4375	0.19470943	0.25789792	0.199814488	0.206482242	0.162836693	0.304347826	0.101083984	0.127208706	0.657142857	0.317942146	0.208464512	0.397642352	0.225643496	0.095284858	0.094576434	0.345931459	0.195495206	0.166709144	0.147871494	0.323055907	0.098710146	0.722222222	0.238562946	0.344060245	0.294843806	0.382858316	0.49290478	0.245540968	0.100797885
GQ472473	0.462686567	0.220115772	0.5625	0.134827234	0.419838756	0.537313433	0.390754466	0.4375	0.19406761	0.266055678	0.194186304	0.207111427	0.158420121	0.304347826	0.098350445	0.126973255	0.657142857	0.311546884	0.212780034	0.419314093	0.199874621	0.085614973	0.0942934	0.324360778	0.184642106	0.173243287	0.154484562	0.318658825	0.103149478	0.72972973	0.236015465	0.345007852	0.28921358	0.38244255	0.494256646	0.251743563	0.100965822
GQ472477	0.432835821	0.198340101	0.5625	0.129155326	0.411168037	0.567164179	0.390746197	0.4375	0.194424828	0.258713725	0.191804284	0.207118152	0.159922024	0.318181818	0.10571758	0.127032518	0.657142857	0.311572514	0.214363231	0.409981801	0.223146396	0.087010307	0.100622585	0.329569103	0.184685063	0.175874003	0.155407601	0.32563499	0.103446162	0.72972973	0.234495386	0.348361933	0.289398281	0.382560691	0.494361446	0.250074881	0.101625026
GU358653	0.462686567	0.208322481	0.5625	0.134889517	0.410213081	0.537313433	0.383035774	0.4375	0.216896816	0.273577592	0.183175344	0.209561146	0.185374275	0.304347826	0.095136785	0.145010457	0.685714286	0.315229603	0.187005579	0.41046531	0.227676956	0.085957777	0.094482404	0.317540757	0.180817672	0.171397928	0.137111863	0.318681428	0.104653501	0.75	0.240369315	0.345470565	0.289510308	0.373949944	0.471327279	0.247881842	0.10146518
HM486355	0.462686567	0.201469581	0.493670886	0.126179611	0.420289393	0.537313433	0.368420405	0.506329114	0.209317947	0.24813386	0.193636337	0.193750482	0.144517771	0.304347826	0.135069596	0.122339331	0.6	0.305425393	0.221863816	0.437621435	0.229449521	0.087137633	0.100695667	0.290943232	0.220802748	0.177314652	0.160040607	0.308466044	0.098515131	0.72972973	0.234242671	0.340071266	0.333832882	0.371897421	0.541572953	0.228188364	0.103193776
HM486356	0.462686567	0.201583547	0.493670886	0.126093234	0.420323528	0.537313433	0.368462933	0.506329114	0.209570495	0.249938964	0.193620087	0.18772572	0.144409462	0.304347826	0.136044112	0.122255645	0.6	0.307673527	0.221608112	0.428445546	0.229543104	0.094625745	0.100667565	0.284964342	0.220803986	0.175819736	0.160170474	0.308456214	0.098512088	0.72972973	0.234031937	0.339891157	0.333937041	0.371613464	0.541894289	0.22804974	0.103254776
HM486357	0.462686567	0.201469581	0.493670886	0.126179611	0.420289393	0.537313433	0.368420405	0.506329114	0.209317947	0.24813386	0.193636337	0.193750482	0.144517771	0.304347826	0.135069596	0.122339331	0.6	0.305425393	0.221863816	0.437621435	0.229449521	0.087137633	0.100695667	0.290943232	0.220802748	0.177314652	0.160040607	0.308466044	0.098515131	0.72972973	0.234242671	0.340071266	0.333832882	0.371897421	0.541572953	0.228188364	0.103193776
HM486358	0.462686567	0.201469581	0.493670886	0.126179611	0.420289393	0.537313433	0.368420405	0.506329114	0.209317947	0.24813386	0.193636337	0.193750482	0.144517771	0.304347826	0.135069596	0.122339331	0.6	0.305425393	0.221863816	0.437621435	0.229449521	0.087137633	0.100695667	0.290943232	0.220802748	0.177314652	0.160040607	0.308466044	0.098515131	0.72972973	0.234242671	0.340071266	0.333832882	0.371897421	0.541572953	0.228188364	0.103193776
HM486359	0.462686567	0.201469581	0.493670886	0.126179611	0.420289393	0.537313433	0.368420405	0.506329114	0.209317947	0.24813386	0.193636337	0.193750482	0.144517771	0.304347826	0.135069596	0.122339331	0.6	0.305425393	0.221863816	0.437621435	0.229449521	0.087137633	0.100695667	0.290943232	0.220802748	0.177314652	0.160040607	0.308466044	0.098515131	0.72972973	0.234242671	0.340071266	0.333832882	0.371897421	0.541572953	0.228188364	0.103193776
HM486361	0.462686567	0.201469581	0.493670886	0.126179611	0.420289393	0.537313433	0.368420405	0.506329114	0.209317947	0.24813386	0.193636337	0.193750482	0.144517771	0.304347826	0.135069596	0.122339331	0.6	0.305425393	0.221863816	0.437621435	0.229449521	0.087137633	0.100695667	0.290943232	0.220802748	0.177314652	0.160040607	0.308466044	0.098515131	0.72972973	0.234242671	0.340071266	0.333832882	0.371897421	0.541572953	0.228188364	0.103193776
HM486362	0.462686567	0.201469581	0.493670886	0.126179611	0.420289393	0.537313433	0.368420405	0.506329114	0.209317947	0.24813386	0.193636337	0.193750482	0.144517771	0.304347826	0.135069596	0.122339331	0.6	0.305425393	0.221863816	0.437621435	0.229449521	0.087137633	0.100695667	0.290943232	0.220802748	0.177314652	0.160040607	0.308466044	0.098515131	0.72972973	0.234242671	0.340071266	0.333832882	0.371897421	0.541572953	0.228188364	0.103193776
HM486364	0.462686567	0.201469581	0.493670886	0.126179611	0.420289393	0.537313433	0.368420405	0.506329114	0.209317947	0.24813386	0.193636337	0.193750482	0.144517771	0.304347826	0.135069596	0.122339331	0.6	0.305425393	0.221863816	0.437621435	0.229449521	0.087137633	0.100695667	0.290943232	0.220802748	0.177314652	0.160040607	0.308466044	0.098515131	0.72972973	0.234242671	0.340071266	0.333832882	0.371897421	0.541572953	0.228188364	0.103193776
HM486365	0.462686567	0.201469581	0.493670886	0.126179611	0.420289393	0.537313433	0.368420405	0.506329114	0.209317947	0.24813386	0.193636337	0.193750482	0.144517771	0.304347826	0.135069596	0.122339331	0.6	0.305425393	0.221863816	0.437621435	0.229449521	0.087137633	0.100695667	0.290943232	0.220802748	0.177314652	0.160040607	0.308466044	0.098515131	0.72972973	0.234242671	0.340071266	0.333832882	0.371897421	0.541572953	0.228188364	0.103193776
HM486366	0.462686567	0.201469581	0.493670886	0.126179611	0.420289393	0.537313433	0.368420405	0.506329114	0.209317947	0.24813386	0.193636337	0.193750482	0.144517771	0.304347826	0.135069596	0.122339331	0.6	0.305425393	0.221863816	0.437621435	0.229449521	0.087137633	0.100695667	0.290943232	0.220802748	0.177314652	0.160040607	0.308466044	0.098515131	0.72972973	0.234242671	0.340071266	0.333832882	0.371897421	0.541572953	0.228188364	0.103193776
HM486367	0.462686567	0.201469581	0.493670886	0.126179611	0.420289393	0.537313433	0.368420405	0.506329114	0.209317947	0.24813386	0.193636337	0.193750482	0.144517771	0.304347826	0.135069596	0.122339331	0.6	0.305425393	0.221863816	0.437621435	0.229449521	0.087137633	0.100695667	0.290943232	0.220802748	0.177314652	0.160040607	0.308466044	0.098515131	0.72972973	0.234242671	0.340071266	0.333832882	0.371897421	0.541572953	0.228188364	0.103193776
HM486368	0.447761194	0.198323386	0.55	0.134761759	0.419890529	0.552238806	0.39072172	0.45	0.194562934	0.258658286	0.194119728	0.207103856	0.1467007	0.304347826	0.105719486	0.122400305	0.628571429	0.311518029	0.224507112	0.419292685	0.223275928	0.085594063	0.094224058	0.324432455	0.184660595	0.17322084	0.154813548	0.318607604	0.103116572	0.72972973	0.235645328	0.345123069	0.28936087	0.386627023	0.517107994	0.251508342	0.101201251
HM486369	0.462686567	0.204868355	0.493670886	0.124866364	0.427925634	0.537313433	0.370675257	0.506329114	0.21168012	0.249240316	0.196267139	0.194621583	0.143191	0.304347826	0.135673015	0.122070639	0.6	0.302339681	0.224304413	0.437646822	0.233639689	0.088107214	0.111360138	0.290945859	0.222229198	0.179209635	0.14888234	0.30847811	0.099825966	0.722222222	0.234428876	0.336786098	0.333876073	0.373806905	0.541158399	0.228295341	0.104172389
HM486370	0.462686567	0.201469581	0.493670886	0.126179611	0.420289393	0.537313433	0.368420405	0.506329114	0.209317947	0.24813386	0.193636337	0.193750482	0.144517771	0.304347826	0.135069596	0.122339331	0.6	0.305425393	0.221863816	0.437621435	0.229449521	0.087137633	0.100695667	0.290943232	0.220802748	0.177314652	0.160040607	0.308466044	0.098515131	0.72972973	0.234242671	0.340071266	0.333832882	0.371897421	0.541572953	0.228188364	0.103193776
HM486371	0.462686567	0.201469581	0.493670886	0.126179611	0.420289393	0.537313433	0.368420405	0.506329114	0.209317947	0.24813386	0.193636337	0.193750482	0.144517771	0.304347826	0.135069596	0.122339331	0.6	0.305425393	0.221863816	0.437621435	0.229449521	0.087137633	0.100695667	0.290943232	0.220802748	0.177314652	0.160040607	0.308466044	0.098515131	0.72972973	0.234242671	0.340071266	0.333832882	0.371897421	0.541572953	0.228188364	0.103193776
HM486372	0.462686567	0.201469581	0.493670886	0.126179611	0.420289393	0.537313433	0.368420405	0.506329114	0.209317947	0.24813386	0.193636337	0.193750482	0.144517771	0.304347826	0.135069596	0.122339331	0.6	0.305425393	0.221863816	0.437621435	0.229449521	0.087137633	0.100695667	0.290943232	0.220802748	0.177314652	0.160040607	0.308466044	0.098515131	0.72972973	0.234242671	0.340071266	0.333832882	0.371897421	0.541572953	0.228188364	0.103193776
HM486373	0.462686567	0.201469581	0.493670886	0.126179611	0.420289393	0.537313433	0.368420405	0.506329114	0.209317947	0.24813386	0.193636337	0.193750482	0.144517771	0.304347826	0.135069596	0.122339331	0.6	0.305425393	0.221863816	0.437621435	0.229449521	0.087137633	0.100695667	0.290943232	0.220802748	0.177314652	0.160040607	0.308466044	0.098515131	0.72972973	0.234242671	0.340071266	0.333832882	0.371897421	0.541572953	0.228188364	0.103193776
HM486374	0.462686567	0.201583605	0.493670886	0.126131863	0.420476822	0.537313433	0.368489919	0.506329114	0.209285666	0.248110987	0.193719931	0.193689107	0.144519073	0.304347826	0.135050274	0.122325614	0.6	0.305419568	0.221694678	0.428472225	0.229571323	0.086344264	0.100728016	0.3056264	0.220822608	0.175840785	0.16002854	0.312710934	0.09853552	0.72972973	0.236207742	0.339983624	0.322033674	0.371789095	0.541479085	0.230094438	0.103139841
HM486375	0.462686567	0.201583605	0.493670886	0.126131863	0.420476822	0.537313433	0.368489919	0.506329114	0.209285666	0.248110987	0.193719931	0.193689107	0.144519073	0.304347826	0.135050274	0.122325614	0.6	0.305419568	0.221694678	0.428472225	0.229571323	0.086344264	0.100728016	0.3056264	0.220822608	0.175840785	0.16002854	0.312710934	0.09853552	0.72972973	0.236207742	0.339983624	0.322033674	0.371789095	0.541479085	0.230094438	0.103139841
HM486379	0.462686567	0.200233573	0.487179487	0.126181547	0.420464918	0.537313433	0.368437594	0.512820513	0.209327079	0.248130751	0.195773792	0.193742138	0.144557636	0.304347826	0.135066969	0.122348092	0.6	0.305424601	0.22189708	0.428462517	0.227937438	0.094765311	0.100714322	0.284966712	0.220821077	0.175857727	0.160058879	0.308456214	0.098266557	0.72972973	0.234237013	0.340212704	0.333937041	0.371901663	0.541572953	0.228163067	0.103191633
HM486380	0.462686567	0.200233573	0.487179487	0.126181547	0.420464918	0.537313433	0.368437594	0.512820513	0.209327079	0.248130751	0.195773792	0.193742138	0.144557636	0.304347826	0.135066969	0.122348092	0.6	0.305424601	0.22189708	0.428462517	0.227937438	0.094765311	0.100714322	0.284966712	0.220821077	0.175857727	0.160058879	0.308456214	0.098266557	0.72972973	0.234237013	0.340212704	0.333937041	0.371901663	0.541572953	0.228163067	0.103191633
HM486381	0.476923077	0.214126158	0.544303797	0.162841212	0.437274616	0.523076923	0.362385991	0.455696203	0.188682778	0.259743972	0.179492476	0.196236264	0.15356086	0.291666667	0.101814332	0.139312919	0.657142857	0.324596307	0.212563964	0.410852919	0.215141587	0.086266776	0.094406918	0.326909015	0.207840199	0.175815274	0.133310958	0.304046231	0.112277594	0.722222222	0.237616775	0.341585902	0.302315466	0.36515988	0.495158357	0.250396426	0.099612506
JF819605	0.46875	0.207549663	0.506329114	0.123004394	0.421113513	0.53125	0.361449653	0.493670886	0.212446629	0.246344033	0.187444917	0.199673042	0.146570925	0.304347826	0.134100734	0.122504176	0.594594595	0.303204712	0.214724267	0.440274234	0.231696628	0.085972445	0.097954817	0.299505799	0.218614264	0.174498593	0.168641212	0.315682321	0.095412198	0.72972973	0.213456625	0.327145757	0.338400436	0.374943365	0.531319529	0.23807005	0.100877456
JF819615	0.462686567	0.201172106	0.493670886	0.126217854	0.420443071	0.537313433	0.368447356	0.506329114	0.209033037	0.246330527	0.194662887	0.199631993	0.144626773	0.304347826	0.134089082	0.122408855	0.6	0.303202064	0.221949386	0.437646822	0.227950163	0.087186148	0.100755686	0.290945859	0.22082121	0.177336191	0.159898468	0.311702914	0.098425175	0.72972973	0.229477594	0.340163044	0.333876073	0.37207194	0.541158399	0.229771827	0.103078658
JF819622	0.462686567	0.201469581	0.493670886	0.126179611	0.420289393	0.537313433	0.368420405	0.506329114	0.209317947	0.24813386	0.193636337	0.193750482	0.144517771	0.304347826	0.135069596	0.122339331	0.6	0.305425393	0.221863816	0.437621435	0.229449521	0.087137633	0.100695667	0.290943232	0.220802748	0.177314652	0.160040607	0.308466044	0.098515131	0.72972973	0.234242671	0.340071266	0.333832882	0.371897421	0.541572953	0.228188364	0.103193776
JN974823	0.432835821	0.205048588	0.555555556	0.162831937	0.41053732	0.567164179	0.35776835	0.444444444	0.174743344	0.268043447	0.188420199	0.199158081	0.150622366	0.304347826	0.10332805	0.12171653	0.657142857	0.321932777	0.222197146	0.389047464	0.234449724	0.085863003	0.094333402	0.338822547	0.207500724	0.171377457	0.150111049	0.294974618	0.097470912	0.75	0.226950443	0.345704983	0.320697241	0.396146149	0.495505695	0.259740127	0.102035601
JN974824	0.462686567	0.211589281	0.5375	0.15710271	0.409777668	0.537313433	0.382953835	0.4625	0.178845859	0.280957235	0.175807233	0.209541825	0.150459053	0.304347826	0.095121699	0.149516697	0.657142857	0.307700946	0.218992254	0.388923189	0.224267979	0.07729306	0.100453404	0.338742253	0.191328249	0.179761198	0.145765747	0.305060164	0.111667209	0.75	0.23794132	0.345120272	0.307207336	0.359015125	0.495505695	0.24885791	0.105104415
JN974828	0.447761194	0.198446114	0.5625	0.13485799	0.420363436	0.552238806	0.390809071	0.4375	0.193824824	0.258677824	0.199128542	0.207108894	0.1586075	0.304347826	0.105718814	0.127062358	0.657142857	0.311537231	0.21285322	0.419406031	0.223294985	0.094138479	0.09441831	0.324394985	0.184696136	0.164870516	0.154384232	0.318662992	0.098435746	0.72972973	0.236183079	0.345384319	0.289472999	0.382584793	0.493805931	0.251795561	0.100849502
JN974829	0.432835821	0.198446114	0.5625	0.125574966	0.420363436	0.567164179	0.398637941	0.4375	0.193824824	0.258677824	0.199128542	0.207108894	0.1586075	0.304347826	0.098351824	0.127062358	0.657142857	0.318904221	0.21285322	0.419406031	0.223294985	0.094138479	0.10464586	0.324394985	0.173938716	0.164870516	0.154384232	0.329049074	0.098435746	0.72972973	0.236183079	0.345384319	0.289472999	0.384773956	0.493805931	0.245268875	0.100849502
JN974838	0.492537313	0.209757101	0.543209877	0.162785692	0.409968226	0.507462687	0.366639113	0.456790123	0.189400166	0.266061987	0.175664138	0.197685368	0.150499776	0.304347826	0.102564928	0.143374695	0.657142857	0.326994118	0.222096268	0.388954136	0.220421245	0.077319776	0.094241658	0.338762385	0.205765513	0.179781004	0.134854789	0.307265948	0.112672426	0.75	0.239007272	0.345266354	0.30199401	0.373118912	0.495505695	0.245441035	0.102034467
JN974842	0.462686567	0.210017735	0.555555556	0.162799101	0.410491402	0.537313433	0.349178293	0.444444444	0.178171765	0.268061624	0.192381902	0.19917097	0.158493571	0.304347826	0.103335982	0.122973977	0.685714286	0.321950293	0.214321631	0.389071264	0.232856042	0.094344947	0.094402792	0.338752398	0.211960695	0.162925807	0.145555027	0.284984249	0.092226752	0.75	0.22730496	0.345586677	0.333632567	0.400135739	0.472628743	0.259993881	0.101797604
JN974845	0.462686567	0.205017834	0.567901235	0.134716079	0.410348047	0.537313433	0.355638138	0.432098765	0.210612968	0.268048028	0.188365017	0.19166256	0.158341738	0.304347826	0.103330048	0.121708034	0.628571429	0.329435958	0.222163477	0.389016273	0.234435412	0.09429028	0.094302771	0.338802533	0.209713471	0.162903601	0.145812236	0.284947797	0.097467452	0.75	0.226957318	0.337798404	0.333650153	0.396140151	0.51744023	0.259760431	0.102035298
JN974854	0.462686567	0.201469581	0.493670886	0.126179611	0.420289393	0.537313433	0.368420405	0.506329114	0.209317947	0.24813386	0.193636337	0.193750482	0.144517771	0.304347826	0.135069596	0.122339331	0.6	0.305425393	0.221863816	0.437621435	0.229449521	0.087137633	0.100695667	0.290943232	0.220802748	0.177314652	0.160040607	0.308466044	0.098515131	0.72972973	0.234242671	0.340071266	0.333832882	0.371897421	0.541572953	0.228188364	0.103193776
JN974870	0.470588235	0.213241974	0.493670886	0.125838279	0.436485835	0.529411765	0.363699135	0.506329114	0.204988375	0.245256364	0.193174066	0.191515805	0.141226515	0.272727273	0.133505175	0.124239646	0.6	0.301877273	0.21903308	0.438252386	0.230267051	0.090284907	0.100361215	0.301862515	0.222494538	0.179549077	0.156595506	0.308485687	0.098335221	0.710526316	0.234253982	0.336448646	0.333624466	0.377719803	0.541572953	0.228238933	0.101911772
JN974871	0.484848485	0.20634649	0.5	0.127468308	0.420066941	0.515151515	0.363727258	0.5	0.213609718	0.248151045	0.191449131	0.193796593	0.143497215	0.304347826	0.135084113	0.133774472	0.6	0.305429769	0.22893372	0.437618453	0.222404566	0.095531931	0.101832275	0.29084339	0.222516973	0.168916856	0.152530163	0.308519587	0.100794138	0.72972973	0.234631054	0.337203349	0.333606878	0.368634292	0.540743925	0.228477755	0.098076106
