"","Accession","Year","Clade","Host","Group","purines","purines1","purines2","purines3"
"18","FJ866829",2007,"Asian SEA2a","Dog","Carnivore",0.527716186252772,0.631929046563193,0.483370288248337,0.467849223946785
"19","FJ866830",2007,"Asian SEA2a","Dog","Carnivore",0.527716186252772,0.631929046563193,0.483370288248337,0.467849223946785
"20","FJ866831",2007,"Asian SEA2a","Dog","Carnivore",0.527716186252772,0.629711751662971,0.485587583148559,0.467849223946785
"21","GQ472468",2007,"Asian SEA2a","Dog","Carnivore",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"22","GQ472470",2007,"Asian SEA2a","Dog","Carnivore",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"23","GQ472473",2007,"Asian SEA2a","Dog","Carnivore",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"24","GQ472477",2006,"Asian SEA2a","Dog","Carnivore",0.527716186252772,0.631929046563193,0.483370288248337,0.467849223946785
"25","GU358653",1994,"Asian SEA2a","Dog","Carnivore",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"26","HM486355",2004,"Asian SEA2a","Dog","Carnivore",0.531411677753141,0.631929046563193,0.485587583148559,0.476718403547672
"27","HM486356",2004,"Asian SEA2a","Dog","Carnivore",0.532150776053215,0.631929046563193,0.48780487804878,0.476718403547672
"28","HM486357",NA,"Asian SEA2a","Dog","Carnivore",0.531411677753141,0.631929046563193,0.485587583148559,0.476718403547672
"29","HM486358",2003,"Asian SEA2a","Dog","Carnivore",0.531411677753141,0.631929046563193,0.485587583148559,0.476718403547672
"30","HM486359",2003,"Asian SEA2a","Dog","Carnivore",0.531411677753141,0.631929046563193,0.485587583148559,0.476718403547672
"31","HM486361",2005,"Asian SEA2a","Dog","Carnivore",0.531411677753141,0.631929046563193,0.485587583148559,0.476718403547672
"32","HM486362",2005,"Asian SEA2a","Dog","Carnivore",0.531411677753141,0.631929046563193,0.485587583148559,0.476718403547672
"33","HM486364",2006,"Asian SEA2a","Dog","Carnivore",0.531411677753141,0.631929046563193,0.485587583148559,0.476718403547672
"34","HM486365",2006,"Asian SEA2a","Dog","Carnivore",0.531411677753141,0.631929046563193,0.485587583148559,0.476718403547672
"35","HM486366",2005,"Asian SEA2a","Dog","Carnivore",0.531411677753141,0.631929046563193,0.485587583148559,0.476718403547672
"36","HM486367",2005,"Asian SEA2a","Dog","Carnivore",0.531411677753141,0.631929046563193,0.485587583148559,0.476718403547672
"37","HM486368",2005,"Asian SEA2a","Dog","Carnivore",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"38","HM486369",2006,"Asian SEA2a","Dog","Carnivore",0.531411677753141,0.631929046563193,0.485587583148559,0.476718403547672
"39","HM486370",2005,"Asian SEA2a","Dog","Carnivore",0.531411677753141,0.631929046563193,0.485587583148559,0.476718403547672
"40","HM486371",2005,"Asian SEA2a","Dog","Carnivore",0.531411677753141,0.631929046563193,0.485587583148559,0.476718403547672
"41","HM486372",2006,"Asian SEA2a","Dog","Carnivore",0.531411677753141,0.631929046563193,0.485587583148559,0.476718403547672
"42","HM486373",2008,"Asian SEA2a","Dog","Carnivore",0.531411677753141,0.631929046563193,0.485587583148559,0.476718403547672
"43","HM486374",2008,"Asian SEA2a","Dog","Carnivore",0.532150776053215,0.631929046563193,0.48780487804878,0.476718403547672
"44","HM486375",2008,"Asian SEA2a","Dog","Carnivore",0.532150776053215,0.631929046563193,0.48780487804878,0.476718403547672
"45","HM486379",2007,"Asian SEA2a","Dog","Carnivore",0.531411677753141,0.631929046563193,0.485587583148559,0.476718403547672
"46","HM486380",2006,"Asian SEA2a","Dog","Carnivore",0.531411677753141,0.631929046563193,0.485587583148559,0.476718403547672
"47","HM486381",2007,"Asian SEA2a","Dog","Carnivore",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"48","JF819605",NA,"Asian SEA2a","Dog","Carnivore",0.530672579453067,0.629711751662971,0.483370288248337,0.478935698447894
"49","JF819615",NA,"Asian SEA2a","Dog","Carnivore",0.531411677753141,0.631929046563193,0.485587583148559,0.476718403547672
"50","JF819622",NA,"Asian SEA2a","Dog","Carnivore",0.531411677753141,0.631929046563193,0.485587583148559,0.476718403547672
"51","JN974823",2008,"Asian SEA2a","Dog","Carnivore",0.529194382852919,0.631929046563193,0.48780487804878,0.467849223946785
"52","JN974824",2005,"Asian SEA2a","Dog","Carnivore",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"53","JN974828",2006,"Asian SEA2a","Dog","Carnivore",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"54","JN974829",2008,"Asian SEA2a","Dog","Carnivore",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"55","JN974838",2005,"Asian SEA2a","Dog","Carnivore",0.529194382852919,0.631929046563193,0.48780487804878,0.467849223946785
"56","JN974842",2006,"Asian SEA2a","Dog","Carnivore",0.529194382852919,0.631929046563193,0.48780487804878,0.467849223946785
"57","JN974845",2008,"Asian SEA2a","Dog","Carnivore",0.529194382852919,0.631929046563193,0.48780487804878,0.467849223946785
"58","JN974854",2009,"Asian SEA2a","Dog","Carnivore",0.531411677753141,0.631929046563193,0.485587583148559,0.476718403547672
"59","JN974870",2003,"Asian SEA2a","Dog","Carnivore",0.531411677753141,0.631929046563193,0.485587583148559,0.476718403547672
"60","JN974871",2003,"Asian SEA2a","Dog","Carnivore",0.531411677753141,0.634146341463415,0.485587583148559,0.47450110864745
"61","JN974872",2003,"Asian SEA2a","Dog","Carnivore",0.530672579453067,0.631929046563193,0.485587583148559,0.47450110864745
"62","JN974873",2004,"Asian SEA2a","Dog","Carnivore",0.529194382852919,0.627494456762749,0.483370288248337,0.476718403547672
"63","JQ970480",2008,"Asian SEA2a","Dog","Carnivore",0.529194382852919,0.631929046563193,0.48780487804878,0.467849223946785
"64","KT221107",2009,"Asian SEA2a","Dog","Carnivore",0.529933481152993,0.631929046563193,0.48780487804878,0.470066518847007
"65","KT894558",2005,"Asian SEA2a","Dog","Carnivore",0.529933481152993,0.631929046563193,0.48780487804878,0.470066518847007
"66","KT894572",2010,"Asian SEA2a","Dog","Carnivore",0.528455284552846,0.631929046563193,0.48780487804878,0.465631929046563
"67","KT894573",2011,"Asian SEA2a","Dog","Carnivore",0.531411677753141,0.631929046563193,0.48780487804878,0.47450110864745
"68","KT894577",2013,"Asian SEA2a","Dog","Carnivore",0.530672579453067,0.629711751662971,0.485587583148559,0.476718403547672
"69","KT894578",2013,"Asian SEA2a","Dog","Carnivore",0.530672579453067,0.629711751662971,0.485587583148559,0.476718403547672
"70","KX148264",1994,"Asian SEA2a","Dog","Carnivore",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"71","KY451767",2015,"Asian SEA2a","Dog","Carnivore",0.529933481152993,0.631929046563193,0.48780487804878,0.470066518847007
"72","MG201879",2010,"Asian SEA2a","Dog","Carnivore",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"73","MG201880",2010,"Asian SEA2a","Dog","Carnivore",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"74","MG201884",2012,"Asian SEA2a","Dog","Carnivore",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"75","MG201919",2011,"Asian SEA2a","Dog","Carnivore",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"76","MG201921",2012,"Asian SEA2a","Dog","Carnivore",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"77","FJ598135",2008,"Asian SEA2b","Ferret badger","Carnivore",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"78","FJ712195",2008,"Asian SEA2b","Ferret badger","Carnivore",0.527716186252772,0.629711751662971,0.485587583148559,0.467849223946785
"79","FJ712196",2008,"Asian SEA2b","Ferret badger","Carnivore",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"80","GU647092",2008,"Asian SEA2b","Ferret badger","Carnivore",0.530672579453067,0.631929046563193,0.48780487804878,0.472283813747228
"81","KF726852",2009,"Asian SEA2b","Ferret badger","Carnivore",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"82","KP319184",2009,"Asian SEA2b","Ferret badger","Carnivore",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"83","KP319185",2009,"Asian SEA2b","Ferret badger","Carnivore",0.530672579453067,0.631929046563193,0.48780487804878,0.472283813747228
"84","KP319186",2009,"Asian SEA2b","Ferret badger","Carnivore",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"85","KP319187",2009,"Asian SEA2b","Ferret badger","Carnivore",0.528455284552846,0.631929046563193,0.48780487804878,0.465631929046563
"86","KP319188",2009,"Asian SEA2b","Ferret badger","Carnivore",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"87","KP319189",2009,"Asian SEA2b","Ferret badger","Carnivore",0.528455284552846,0.631929046563193,0.48780487804878,0.465631929046563
"88","KP319190",2009,"Asian SEA2b","Ferret badger","Carnivore",0.530672579453067,0.631929046563193,0.48780487804878,0.472283813747228
"89","KP319191",2009,"Asian SEA2b","Ferret badger","Carnivore",0.530672579453067,0.631929046563193,0.48780487804878,0.472283813747228
"90","KP319192",2009,"Asian SEA2b","Ferret badger","Carnivore",0.530672579453067,0.631929046563193,0.48780487804878,0.472283813747228
"91","KP319193",2011,"Asian SEA2b","Ferret badger","Carnivore",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"92","KP319194",2011,"Asian SEA2b","Ferret badger","Carnivore",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"93","KP319195",2011,"Asian SEA2b","Ferret badger","Carnivore",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"94","KP319196",2012,"Asian SEA2b","Ferret badger","Carnivore",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"95","KP319197",2012,"Asian SEA2b","Ferret badger","Carnivore",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"96","KP319198",2012,"Asian SEA2b","Ferret badger","Carnivore",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"97","KP319199",2012,"Asian SEA2b","Ferret badger","Carnivore",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"98","KP319200",2012,"Asian SEA2b","Ferret badger","Carnivore",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"99","KP319201",2013,"Asian SEA2b","Ferret badger","Carnivore",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"100","KP319202",2013,"Asian SEA2b","Ferret badger","Carnivore",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"101","KP319203",2013,"Asian SEA2b","Ferret badger","Carnivore",0.528455284552846,0.629711751662971,0.485587583148559,0.470066518847007
"102","KP319204",2013,"Asian SEA2b","Ferret badger","Carnivore",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"103","KP319205",2013,"Asian SEA2b","Ferret badger","Carnivore",0.529933481152993,0.631929046563193,0.485587583148559,0.472283813747228
"104","KP319206",2013,"Asian SEA2b","Ferret badger","Carnivore",0.529933481152993,0.631929046563193,0.48780487804878,0.470066518847007
"105","KP319207",2013,"Asian SEA2b","Ferret badger","Carnivore",0.529933481152993,0.631929046563193,0.48780487804878,0.470066518847007
"106","KP319208",2013,"Asian SEA2b","Ferret badger","Carnivore",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"107","KP319209",2013,"Asian SEA2b","Ferret badger","Carnivore",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"108","KP319210",2013,"Asian SEA2b","Ferret badger","Carnivore",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"109","KP319211",2013,"Asian SEA2b","Ferret badger","Carnivore",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"110","KP319212",2013,"Asian SEA2b","Ferret badger","Carnivore",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"111","KP319213",2013,"Asian SEA2b","Ferret badger","Carnivore",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"112","AB519642",NA,"Bat DR","Vampire bat","Bat",0.533628972653363,0.629711751662971,0.483370288248337,0.48780487804878
"113","AF070449",NA,"Bat DR","Vampire bat","Bat",0.533628972653363,0.631929046563193,0.483370288248337,0.485587583148559
"114","AF351847",NA,"Bat DR","Vampire bat","Bat",0.536585365853659,0.636363636363636,0.483370288248337,0.490022172949002
"115","AF351852",NA,"Bat DR","Vampire bat","Bat",0.533628972653363,0.631929046563193,0.483370288248337,0.485587583148559
"116","AY854587",NA,"Bat DR","Vampire bat","Bat",0.532150776053215,0.634146341463415,0.481152993348115,0.481152993348115
"117","AY854592",NA,"Bat DR","Vampire bat","Bat",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"118","AY854594",NA,"Bat DR","Vampire bat","Bat",0.534368070953437,0.634146341463415,0.483370288248337,0.485587583148559
"119","AY877433",NA,"Bat DR","Vampire bat","Bat",0.532150776053215,0.631929046563193,0.481152993348115,0.483370288248337
"120","AY877434",NA,"Bat DR","Vampire bat","Bat",0.533628972653363,0.631929046563193,0.483370288248337,0.485587583148559
"121","AY877435",NA,"Bat DR","Vampire bat","Bat",0.532150776053215,0.631929046563193,0.483370288248337,0.481152993348115
"122","GU592648",NA,"Bat DR","Vampire bat","Bat",0.532150776053215,0.629711751662971,0.483370288248337,0.483370288248337
"123","KF656696",2012,"Bat DR","Vampire bat","Bat",0.534368070953437,0.634146341463415,0.483370288248337,0.485587583148559
"124","KF656697",2012,"Bat DR","Vampire bat","Bat",0.534368070953437,0.634146341463415,0.483370288248337,0.485587583148559
"125","KF864234",1994,"Bat DR","Vampire bat","Bat",0.534368070953437,0.631929046563193,0.483370288248337,0.48780487804878
"126","KF864322",2006,"Bat DR","Vampire bat","Bat",0.533628972653363,0.629711751662971,0.483370288248337,0.48780487804878
"127","KF864397",2008,"Bat DR","Vampire bat","Bat",0.533628972653363,0.631929046563193,0.483370288248337,0.485587583148559
"128","KM594040",2013,"Bat DR","Vampire bat","Bat",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"129","KM594041",2013,"Bat DR","Vampire bat","Bat",0.529933481152993,0.629711751662971,0.483370288248337,0.476718403547672
"130","KM594042",2013,"Bat DR","Vampire bat","Bat",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"131","KP202393",1988,"Bat DR","Vampire bat","Bat",0.530672579453067,0.631929046563193,0.478935698447894,0.481152993348115
"132","KT023101",2010,"Bat DR","Vampire bat","Bat",0.529194382852919,0.629711751662971,0.483370288248337,0.47450110864745
"133","KU523255",2010,"Bat DR","Vampire bat","Bat",0.529194382852919,0.629711751662971,0.483370288248337,0.47450110864745
"134","MN968374",2018,"Bat DR","Vampire bat","Bat",0.532889874353289,0.634146341463415,0.483370288248337,0.481152993348115
"135","MN968375",2018,"Bat DR","Vampire bat","Bat",0.532889874353289,0.634146341463415,0.483370288248337,0.481152993348115
"136","MN968376",2018,"Bat DR","Vampire bat","Bat",0.532889874353289,0.634146341463415,0.483370288248337,0.481152993348115
"137","MN968377",2018,"Bat DR","Vampire bat","Bat",0.533628972653363,0.634146341463415,0.483370288248337,0.483370288248337
"138","MN968378",2018,"Bat DR","Vampire bat","Bat",0.533628972653363,0.634146341463415,0.483370288248337,0.483370288248337
"139","MN968379",2018,"Bat DR","Vampire bat","Bat",0.533628972653363,0.634146341463415,0.483370288248337,0.483370288248337
"140","MN968380",2018,"Bat DR","Vampire bat","Bat",0.533628972653363,0.634146341463415,0.483370288248337,0.483370288248337
"141","MN968381",2018,"Bat DR","Vampire bat","Bat",0.533628972653363,0.634146341463415,0.483370288248337,0.483370288248337
"142","MN968382",2018,"Bat DR","Vampire bat","Bat",0.533628972653363,0.634146341463415,0.483370288248337,0.483370288248337
"143","MN968383",2018,"Bat DR","Vampire bat","Bat",0.533628972653363,0.634146341463415,0.483370288248337,0.483370288248337
"144","MN968384",2018,"Bat DR","Vampire bat","Bat",0.533628972653363,0.634146341463415,0.483370288248337,0.483370288248337
"145","MN968385",2018,"Bat DR","Vampire bat","Bat",0.533628972653363,0.634146341463415,0.483370288248337,0.483370288248337
"146","MN968386",2018,"Bat DR","Vampire bat","Bat",0.533628972653363,0.634146341463415,0.483370288248337,0.483370288248337
"147","MN968387",2018,"Bat DR","Vampire bat","Bat",0.532889874353289,0.634146341463415,0.483370288248337,0.481152993348115
"148","MT891038",2016,"Bat DR","Vampire bat","Bat",0.535846267553585,0.631929046563193,0.483370288248337,0.492239467849224
"149","MW249020",2016,"Bat DR","Vampire bat","Bat",0.533628972653363,0.631929046563193,0.483370288248337,0.485587583148559
"150","MW249021",2016,"Bat DR","Vampire bat","Bat",0.535846267553585,0.631929046563193,0.483370288248337,0.492239467849224
"151","AB284509",2000,"Cosmo AF1b","Dog","Carnivore",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"152","AB284510",1999,"Cosmo AF1b","Dog","Carnivore",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"153","AB284511",2000,"Cosmo AF1b","Dog","Carnivore",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"154","AB284512",2005,"Cosmo AF1b","Dog","Carnivore",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"155","AB284513",2005,"Cosmo AF1b","Dog","Carnivore",0.537324464153732,0.636363636363636,0.483370288248337,0.492239467849224
"156","AB284514",2004,"Cosmo AF1b","Dog","Carnivore",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"157","AB285215",2000,"Cosmo AF1b","Dog","Carnivore",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"158","EU853582",1995,"Cosmo AF1b","Dog","Carnivore",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"159","EU853584",2004,"Cosmo AF1b","Dog","Carnivore",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"160","EU853585",2005,"Cosmo AF1b","Dog","Carnivore",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"161","EU853586",2003,"Cosmo AF1b","Dog","Carnivore",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"162","EU853587",2006,"Cosmo AF1b","Dog","Carnivore",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"163","EU853588",2006,"Cosmo AF1b","Dog","Carnivore",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"164","EU853589",2007,"Cosmo AF1b","Dog","Carnivore",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"165","EU853590",2000,"Cosmo AF1b","Dog","Carnivore",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"166","HM179504",2006,"Cosmo AF1b","Dog","Carnivore",0.539541759053954,0.636363636363636,0.483370288248337,0.498891352549889
"167","HM179505",2004,"Cosmo AF1b","Dog","Carnivore",0.537324464153732,0.636363636363636,0.483370288248337,0.492239467849224
"168","HM179506",1996,"Cosmo AF1b","Dog","Carnivore",0.535846267553585,0.634146341463415,0.481152993348115,0.492239467849224
"169","KF155002",2010,"Cosmo AF1b","Dog","Carnivore",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"170","KR534217",2008,"Cosmo AF1b","Dog","Carnivore",0.536585365853659,0.636363636363636,0.483370288248337,0.490022172949002
"171","KR534218",2008,"Cosmo AF1b","Dog","Carnivore",0.537324464153732,0.636363636363636,0.483370288248337,0.492239467849224
"172","KR534219",2007,"Cosmo AF1b","Dog","Carnivore",0.535107169253511,0.634146341463415,0.481152993348115,0.490022172949002
"173","KR534220",2008,"Cosmo AF1b","Dog","Carnivore",0.537324464153732,0.636363636363636,0.483370288248337,0.492239467849224
"174","KR534228",2010,"Cosmo AF1b","Dog","Carnivore",0.534368070953437,0.634146341463415,0.481152993348115,0.48780487804878
"175","KR534229",2010,"Cosmo AF1b","Dog","Carnivore",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"176","KR534230",2010,"Cosmo AF1b","Dog","Carnivore",0.535107169253511,0.634146341463415,0.481152993348115,0.490022172949002
"177","KR534231",2010,"Cosmo AF1b","Dog","Carnivore",0.534368070953437,0.634146341463415,0.481152993348115,0.48780487804878
"178","KR534233",2011,"Cosmo AF1b","Dog","Carnivore",0.537324464153732,0.634146341463415,0.483370288248337,0.494456762749446
"179","KR534238",2011,"Cosmo AF1b","Dog","Carnivore",0.534368070953437,0.634146341463415,0.481152993348115,0.48780487804878
"180","KR534244",2011,"Cosmo AF1b","Dog","Carnivore",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"181","KR534247",2011,"Cosmo AF1b","Dog","Carnivore",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"182","KR534249",2011,"Cosmo AF1b","Dog","Carnivore",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"183","KR534250",2011,"Cosmo AF1b","Dog","Carnivore",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"184","KR534251",2011,"Cosmo AF1b","Dog","Carnivore",0.535107169253511,0.634146341463415,0.481152993348115,0.490022172949002
"185","KR534252",2011,"Cosmo AF1b","Dog","Carnivore",0.535846267553585,0.636363636363636,0.481152993348115,0.490022172949002
"186","KR534253",2011,"Cosmo AF1b","Dog","Carnivore",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"187","KR906734",2008,"Cosmo AF1b","Dog","Carnivore",0.535107169253511,0.634146341463415,0.481152993348115,0.490022172949002
"188","KR906735",2008,"Cosmo AF1b","Dog","Carnivore",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"189","KR906736",2008,"Cosmo AF1b","Dog","Carnivore",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"190","KR906739",2004,"Cosmo AF1b","Dog","Carnivore",0.535107169253511,0.634146341463415,0.481152993348115,0.490022172949002
"191","KR906741",2003,"Cosmo AF1b","Dog","Carnivore",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"192","KR906742",2009,"Cosmo AF1b","Dog","Carnivore",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"193","KR906743",2010,"Cosmo AF1b","Dog","Carnivore",0.534368070953437,0.634146341463415,0.481152993348115,0.48780487804878
"194","KR906744",2010,"Cosmo AF1b","Dog","Carnivore",0.535107169253511,0.634146341463415,0.481152993348115,0.490022172949002
"195","KR906745",2010,"Cosmo AF1b","Dog","Carnivore",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"196","KR906746",2010,"Cosmo AF1b","Dog","Carnivore",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"197","KR906747",2010,"Cosmo AF1b","Dog","Carnivore",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"198","KR906748",2010,"Cosmo AF1b","Dog","Carnivore",0.534368070953437,0.629711751662971,0.483370288248337,0.490022172949002
"199","KR906749",2010,"Cosmo AF1b","Dog","Carnivore",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"200","KR906750",2010,"Cosmo AF1b","Dog","Carnivore",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"201","KR906751",2011,"Cosmo AF1b","Dog","Carnivore",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"202","KR906752",2011,"Cosmo AF1b","Dog","Carnivore",0.534368070953437,0.629711751662971,0.483370288248337,0.490022172949002
"203","KR906754",2011,"Cosmo AF1b","Dog","Carnivore",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"204","KR906755",2011,"Cosmo AF1b","Dog","Carnivore",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"205","KR906756",2011,"Cosmo AF1b","Dog","Carnivore",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"206","KR906757",2010,"Cosmo AF1b","Dog","Carnivore",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"207","KR906759",2010,"Cosmo AF1b","Dog","Carnivore",0.534368070953437,0.634146341463415,0.481152993348115,0.48780487804878
"208","KR906760",2010,"Cosmo AF1b","Dog","Carnivore",0.537324464153732,0.634146341463415,0.483370288248337,0.494456762749446
"209","KR906762",2010,"Cosmo AF1b","Dog","Carnivore",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"210","KR906763",2010,"Cosmo AF1b","Dog","Carnivore",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"211","KR906765",2010,"Cosmo AF1b","Dog","Carnivore",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"212","KR906766",2010,"Cosmo AF1b","Dog","Carnivore",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"213","KR906767",2011,"Cosmo AF1b","Dog","Carnivore",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"214","KR906768",2011,"Cosmo AF1b","Dog","Carnivore",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"215","KR906770",2011,"Cosmo AF1b","Dog","Carnivore",0.535107169253511,0.634146341463415,0.481152993348115,0.490022172949002
"216","KR906771",2011,"Cosmo AF1b","Dog","Carnivore",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"217","KR906772",2011,"Cosmo AF1b","Dog","Carnivore",0.537324464153732,0.634146341463415,0.483370288248337,0.494456762749446
"218","KR906773",2011,"Cosmo AF1b","Dog","Carnivore",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"219","KR906774",2011,"Cosmo AF1b","Dog","Carnivore",0.535107169253511,0.634146341463415,0.481152993348115,0.490022172949002
