Accession,Hamming
KF726852,0.772158365
KP319185,0.773435504
KP319186,0.772669221
KP319187,0.773690932
KP319188,0.772669221
KP319191,0.773435504
KP319193,0.772924649
KP319194,0.771902937
KP319195,0.772158365
KP319199,0.772413793
KP319201,0.772413793
KP319203,0.773180077
KP319204,0.773180077
KP319205,0.77164751
KP319206,0.773435504
KP319207,0.773435504
MT068612,0.772413793
MT068615,0.772413793
AY854505,0.771392082
AY854525,0.771392082
AY854531,0.770625798
AY854544,0.770881226
AY854546,0.770881226
AY854558,0.770881226
AY854567,0.770625798
AY854573,0.770881226
AY854576,0.771136654
AB284509,0.77164751
AB284511,0.77164751
AB284512,0.77164751
AB284513,0.772158365
AB284514,0.772158365
EU853582,0.770881226
EU853584,0.771136654
EU853586,0.771136654
EU853587,0.771136654
EU853590,0.771392082
HM179504,0.770881226
HM179505,0.770881226
HM179506,0.77164751
KF155002,0.771392082
KR534217,0.77164751
KR534218,0.77164751
KR534219,0.771392082
KR534228,0.771392082
KR534229,0.771136654
KR534230,0.770881226
KR534233,0.771136654
KR534238,0.771392082
KR534244,0.771136654
KR534250,0.771136654
KR534251,0.771392082
KR534252,0.770881226
KR534253,0.771136654
KR906735,0.771136654
KR906736,0.771136654
KR906739,0.770881226
KR906741,0.771136654
KR906742,0.771136654
KR906744,0.770881226
KR906745,0.77164751
KR906746,0.770609319
KR906747,0.770609319
KR906748,0.771136654
KR906749,0.77164751
KR906751,0.770865335
KR906756,0.771136654
KR906757,0.771121352
KR906759,0.771392082
KR906762,0.77164751
KR906763,0.771392082
KR906765,0.771136654
KR906766,0.771136654
KR906767,0.771136654
KR906770,0.771392082
KR906773,0.771136654
KR906780,0.771136654
KR906784,0.771392082
KR906790,0.769859515
KR906792,0.770625798
KT336432,0.771392082
KT336433,0.770881226
KT336434,0.771136654
KT336435,0.771392082
KT336436,0.771136654
KT336437,0.770881226
KX148203,0.770881226
KX148204,0.770881226
KX148206,0.771136654
KX148208,0.771377368
KY210224,0.771136654
KY210243,0.771136654
KY210247,0.771136654
KY210249,0.771136654
KY210253,0.771392082
KY210263,0.77037037
KY210264,0.771392082
KY210279,0.771136654
KY210287,0.771136654
KY210304,0.771392082
KY563717,0.770114943
LC029890,0.771377368
MN726804,0.771392082
MN726826,0.77164751
MN726827,0.77164751
MT454631,0.771392082
MT454635,0.771392082
MT454637,0.771392082
MT454641,0.771392082
MT454643,0.770881226
MT454644,0.771136654
MT454645,0.770881226
OK317992,0.771136654
OK317993,0.771136654
OK317995,0.771136654
OK317996,0.771136654
OK317998,0.770625798
OK317999,0.770625798
OP375406,0.771136654
OP375407,0.771136654
OP375410,0.771136654
OP375413,0.77164751
OP375414,0.77164751
OP375415,0.77164751
OP375418,0.77164751
OP375421,0.771136654
OP375423,0.771136654
OR045939,0.771121352
OR045949,0.771136654
OR270973,0.77164751
OR270979,0.771136654
OR270997,0.77164751
OR270998,0.772158365
OR270999,0.77164751
OR271001,0.77164751
OR271003,0.772158365
PV855388,0.77164751
PV855390,0.771392082
PV855392,0.77164751
PV855393,0.772158365
PV855394,0.771902937
PV855397,0.771136654
PV855415,0.771392082
EU345002,0.771916412
EU345003,0.773700306
EU345004,0.77293578
JQ685938,0.774201788
JQ685968,0.774201788
MW055084,0.773190622
MW055085,0.772426096
MW055086,0.77394636
MW055087,0.774712644
AB519642,0.774201788
AF070449,0.77394636
AF351847,0.774201788
AF351852,0.774457216
AY854587,0.773435504
AY854592,0.774712644
AY854594,0.774712644
AY877433,0.77394636
AY877434,0.773690932
AY877435,0.77394636
GU592648,0.774201788
KF656696,0.774712644
KF864234,0.773435504
KF864322,0.773435504
KF864397,0.773690932
KM594040,0.774457216
KM594041,0.774457216
KM594042,0.774457216
KP202393,0.773690932
KT023101,0.774201788
MN968374,0.775223499
MN968375,0.774712644
MN968377,0.774712644
MN968386,0.774712644
MT891038,0.774712644
MW249020,0.77394636
MW579786,0.774201788
MW579820,0.774201788
MW579824,0.774457216
MW579833,0.774201788
PQ379829,0.774201788
PQ379831,0.775478927
PQ379832,0.774712644
PQ379834,0.774712644
PQ379836,0.774712644
PQ379849,0.774457216
PQ510120,0.77394636
PQ603086,0.774712644
PQ671599,0.774968072
PQ671601,0.774712644
AF351849,0.774968072
AF394876,0.774201788
GU644760,0.774449565
GU644761,0.774457216
GU644762,0.774968072
GU644763,0.774449565
GU644764,0.775223499
GU644765,0.774968072
GU644766,0.774968072
GU644767,0.774961598
GU644768,0.774968072
GU644769,0.774193548
GU644770,0.774457216
GU644771,0.774457216
GU644772,0.774712644
GU644773,0.774961598
GU644774,0.774968072
GU644775,0.774961598
GU644776,0.774968072
GU644777,0.774968072
GU644778,0.774968072
GU644779,0.774968072
GU644780,0.774968072
GU644781,0.774712644
GU644782,0.774457216
GU644784,0.775478927
GU644785,0.775223499
GU644786,0.774457216
GU644787,0.773937532
GU644788,0.774449565
JQ685905,0.774457216
AF351828,0.773435504
AF351831,0.773190622
AF351832,0.774457216
AF351833,0.773955148
AF351855,0.773700306
AF351861,0.77394636
AF351862,0.773690932
AY039227,0.773955148
AY039228,0.773700306
AY039229,0.773690932
GU644652,0.773180077
GU644654,0.773700306
GU644655,0.773700306
GU644656,0.773700306
GU644657,0.773180077
GU644658,0.773180077
GU644659,0.774201788
GU644660,0.773690932
GU644661,0.774201788
GU644662,0.773690932
GU644663,0.773690932
GU644664,0.773690932
GU644665,0.77394636
GU644666,0.773690932
GU644667,0.773690932
GU644668,0.774201788
GU644669,0.773690932
GU644670,0.773690932
GU644671,0.773690932
GU644676,0.773690932
GU644677,0.773690932
GU644684,0.773955148
GU644689,0.773955148
GU644690,0.773955148
GU644695,0.773955148
AF351845,0.774712644
AF351846,0.77420999
AF351858,0.773690932
AF394883,0.774201788
AF394884,0.774712644
GU644712,0.774712644
GU644713,0.774712644
GU644714,0.774712644
GU644715,0.774712644
GU644716,0.774712644
GU644717,0.775223499
GU644718,0.775223499
GU644719,0.774712644
GU644720,0.774712644
GU644721,0.774712644
JQ685947,0.774712644
