Reference,Name,Length,CAI,%G+C,%G+C(1),%G+C(2),%G+C(3),Nc
Vulpes lagopus,MN233956,1353,0.762,44.9,47.9,39.5,47.2,53.5
Vulpes lagopus,MN233958,1353,0.764,44.9,47.5,39.5,47.7,53.4
Vulpes lagopus,MN233960,1353,0.762,45.1,47.9,39.5,47.9,53.8
Vulpes lagopus,MN233963,1353,0.759,45,47.9,39.5,47.7,54.1
Vulpes lagopus,MN233967,1353,0.758,44.9,47.9,39.5,47.2,53.3
Vulpes lagopus,MN233968,1353,0.766,44.9,47.7,39.5,47.7,54.2
Vulpes lagopus,MN233969,1353,0.765,45,47.7,39.7,47.7,54.2
Vulpes lagopus,MN233973,1353,0.761,45,47.9,39.5,47.7,53.7
Vulpes lagopus,MN233974,1353,0.762,45.1,47.9,39.5,47.9,53.8
Vulpes lagopus,MN233975,1353,0.76,44.9,47.9,39.5,47.5,53.7
Vulpes lagopus,MN233977,1353,0.761,44.8,47.9,39.5,47,53.7
Vulpes lagopus,MN233978,1353,0.759,45.2,48.1,39.5,47.9,54.1
Vulpes lagopus,MN233982,1353,0.76,44.9,47.9,39.5,47.5,53.7
Vulpes lagopus,MN233985,1353,0.76,45,47.9,39.5,47.7,53.6
Vulpes lagopus,MN233988,1353,0.76,45,47.9,39.5,47.7,53.1
Vulpes lagopus,MN233991,1353,0.761,44.9,47.7,39.5,47.5,53.8
Vulpes lagopus,MN233992,1353,0.766,44.9,47.5,39.5,47.7,54.1
Vulpes lagopus,MN233998,1353,0.76,44.9,47.9,39.5,47.2,53.7
Vulpes lagopus,MN234000,1353,0.766,45,47.9,39.5,47.7,54.1
Vulpes lagopus,MN234002,1353,0.76,44.9,47.9,39.5,47.2,53.5
Vulpes lagopus,MN234004,1353,0.762,44.7,47.9,39.5,46.8,53.2
Vulpes lagopus,MN234008,1353,0.76,44.9,47.9,39.5,47.2,53.7
Vulpes lagopus,MN234016,1353,0.761,45,47.9,39.5,47.7,53.7
Vulpes lagopus,MN234017,1353,0.763,45,47.7,39.5,47.9,53.6
Vulpes lagopus,MN234018,1353,0.762,44.8,47.5,39.5,47.5,53.3
Vulpes lagopus,MN234023,1353,0.761,45,47.9,39.5,47.7,53.9
Vulpes lagopus,MN234043,1353,0.761,45,47.9,39.5,47.7,53.7
Vulpes lagopus,MN234046,1353,0.76,44.9,47.9,39.5,47.5,53.8
Vulpes lagopus,MN234055,1353,0.76,44.9,47.9,39.5,47.5,53.3
Vulpes lagopus,MN384717,1353,0.766,45.2,47.9,39.2,48.3,53.6
Vulpes lagopus,DQ666289,1353,0.748,44.9,47.2,39.7,47.7,56.9
Vulpes lagopus,DQ666290,1353,0.749,44.7,47.5,39,47.7,56.7
Vulpes lagopus,DQ866105,1353,0.75,44.8,47.7,38.6,48.1,57
Vulpes lagopus,DQ866106,1353,0.751,44.6,47.2,38.8,47.7,56.5
Vulpes lagopus,DQ866108,1353,0.748,44.4,47.5,38.8,47,56.8
Vulpes lagopus,DQ866109,1353,0.747,44.6,47.7,38.8,47.2,56.5
Vulpes lagopus,DQ866110,1353,0.747,44.3,47.7,38.8,46.3,57.3
Vulpes lagopus,DQ866112,1353,0.747,44.6,47.5,38.8,47.5,57.1
Vulpes lagopus,DQ866116,1353,0.747,44.3,47.9,38.8,46.3,56.7
Vulpes lagopus,DQ866119,1353,0.748,44.6,47.7,38.8,47.2,57.3
Vulpes lagopus,EU086182,1353,0.749,44.6,47.7,38.8,47.2,56.3
Vulpes lagopus,EU086183,1353,0.748,44.6,47.9,39,46.8,56.3
Vulpes lagopus,EU828653,1353,0.744,44.3,48.1,38.6,46.1,56.6
Vulpes lagopus,FJ561726,1353,0.744,44.5,48.1,38.8,46.6,57
Vulpes lagopus,FJ561727,1353,0.745,44.6,48.1,39,46.6,57
Vulpes lagopus,FJ561728,1353,0.747,44.9,48.3,38.8,47.7,57.2
Vulpes lagopus,FJ866829,1353,0.744,45.2,48.8,39,47.7,57.4
Vulpes lagopus,FJ866830,1353,0.744,44.8,48.1,39,47.2,57.6
Vulpes lagopus,FJ866831,1353,0.746,44.8,48.3,38.8,47.2,57.4
Vulpes lagopus,GQ472468,1353,0.749,44.6,47.5,39,47.5,56.1
Vulpes lagopus,GQ472470,1353,0.751,44.9,47.7,39,47.9,56.3
Vulpes lagopus,GQ472473,1353,0.75,44.4,47.5,38.8,47,56.4
Vulpes lagopus,GQ472477,1353,0.748,44.6,47.5,38.6,47.7,56.9
Vulpes lagopus,GU358653,1353,0.749,44.7,48.1,38.8,47.2,56.2
Vulpes lagopus,HM486355,1353,0.748,44.5,47.5,39,47,59.6
Vulpes lagopus,HM486356,1353,0.748,44.5,47.5,39,47,59.7
Vulpes lagopus,HM486368,1353,0.749,44.4,47.2,38.8,47.2,56.6
Vulpes lagopus,HM486369,1353,0.748,44.6,47.7,39,47,59.6
Vulpes lagopus,HM486374,1353,0.748,44.6,47.5,39.2,47,59.4
Vulpes lagopus,HM486379,1353,0.748,44.6,47.5,39.2,47,59.7
Vulpes lagopus,HM486381,1353,0.745,44.9,48.6,39.5,46.6,56.5
Vulpes lagopus,JF819605,1353,0.745,44.9,47.9,39.7,47,59.1
Vulpes lagopus,JF819615,1353,0.748,44.6,47.5,39.2,47,59.5
Vulpes lagopus,JN974823,1353,0.75,44.8,47.9,38.6,47.9,57
Vulpes lagopus,JN974824,1353,0.747,44.5,47.9,38.8,46.8,56.5
Vulpes lagopus,JN974828,1353,0.75,44.6,47.5,38.8,47.7,56.6
Vulpes lagopus,JN974829,1353,0.751,44.6,47.5,38.8,47.7,56.2
Vulpes lagopus,JN974838,1353,0.745,44.6,48.3,38.8,46.6,56.9
Vulpes lagopus,JN974842,1353,0.751,44.8,47.9,38.6,47.9,57
Vulpes lagopus,JN974845,1353,0.753,44.7,47.7,38.6,47.9,56.8
Vulpes lagopus,JN974870,1353,0.747,44.3,47.2,38.8,47,58.9
Vulpes lagopus,JN974871,1353,0.75,44.4,47.2,39,47,59.8
Vulpes lagopus,JN974872,1353,0.748,44.5,47.5,39,47,59.5
Vulpes lagopus,JN974873,1353,0.747,44.4,47.5,38.8,47,60.5
Vulpes lagopus,JQ970480,1353,0.755,44.8,47.7,38.6,48.1,56.8
Vulpes lagopus,KT221107,1353,0.752,44.6,47.7,38.4,47.9,56.9
Vulpes lagopus,KT894558,1353,0.753,45,48.1,39,47.9,57.4
Vulpes lagopus,KT894572,1353,0.751,44.7,48.1,38.6,47.5,57
Vulpes lagopus,KT894573,1353,0.752,44.5,47.9,38.6,47,57.3
Vulpes lagopus,KT894577,1353,0.748,44.7,47.5,38.8,47.9,55.8
Vulpes lagopus,KT894578,1353,0.748,44.8,47.5,38.8,48.1,55.8
Vulpes lagopus,KX148264,1353,0.75,44.7,47.9,38.8,47.5,56.2
Vulpes lagopus,KY451767,1353,0.75,45,47.9,38.8,48.3,56.8
Vulpes lagopus,MG201879,1353,0.749,44.7,47.5,39,47.7,56.4
Vulpes lagopus,MG201880,1353,0.748,44.4,47.5,38.8,47,56.3
Vulpes lagopus,MG201884,1353,0.749,44.6,47.5,38.8,47.7,56.3
Vulpes lagopus,MG201919,1353,0.75,44.8,47.5,38.8,48.1,56.5
Vulpes lagopus,MG201921,1353,0.755,44.5,47.2,38.8,47.5,56.4
Vulpes lagopus,MN784132,1353,0.75,44.6,47.5,38.8,47.7,56.6
Vulpes lagopus,FJ598135,1353,0.754,43.9,47.2,39,45.5,59.5
Vulpes lagopus,FJ712195,1353,0.76,44.6,47.5,39.2,47,57.2
Vulpes lagopus,FJ712196,1353,0.756,44.1,47.5,39,45.7,58.7
Vulpes lagopus,FJ719751,1353,0.754,44.5,47.5,39,47,58.9
Vulpes lagopus,FJ719753,1353,0.754,44.1,47.5,38.8,46.1,59.6
Vulpes lagopus,FJ719755,1353,0.755,44.6,47.5,39,47.2,59.5
Vulpes lagopus,GU647092,1353,0.755,44.2,47.5,38.8,46.3,59.9
Vulpes lagopus,HQ118114,1353,0.755,44.1,47.5,39,45.7,59.4
Vulpes lagopus,JN974877,1353,0.756,44.1,47.5,39.2,45.7,59.4
Vulpes lagopus,JQ950446,1353,0.752,44.6,47.9,39,46.8,59.4
Vulpes lagopus,JQ950448,1353,0.756,44.3,47.7,39,46.3,59.3
Vulpes lagopus,KF726852,1353,0.755,44.7,47.9,39.2,47,59.5
Vulpes lagopus,KP319185,1353,0.756,44.4,47.5,38.8,47,59.6
Vulpes lagopus,KP319186,1353,0.753,44.5,47.5,39,47,58.8
Vulpes lagopus,KP319187,1353,0.757,44.1,47.5,38.8,46.1,59.7
Vulpes lagopus,KP319188,1353,0.754,44.6,47.5,39,47.2,58.9
Vulpes lagopus,KP319191,1353,0.755,44.1,47.5,38.8,46.1,59.6
Vulpes lagopus,KP319193,1353,0.756,44.2,47.5,39,46.1,59.4
Vulpes lagopus,KP319194,1353,0.753,44.6,48.1,39,46.8,59.4
Vulpes lagopus,KP319195,1353,0.754,44.7,47.9,39,47.2,59.3
Vulpes lagopus,KP319199,1353,0.752,44.4,47.5,39.2,46.6,58.5
Vulpes lagopus,KP319201,1353,0.752,44.3,47.5,39.2,46.3,58.4
Vulpes lagopus,KP319203,1353,0.756,44.3,47.5,39,46.6,59.3
Vulpes lagopus,KP319204,1353,0.757,44.3,47.5,39,46.6,59.3
Vulpes lagopus,KP319205,1353,0.753,44.5,47.7,39.5,46.3,59.4
Vulpes lagopus,KP319206,1353,0.763,44.3,47.5,38.8,46.8,59.6
Vulpes lagopus,KP319207,1353,0.762,44.4,47.5,38.8,47,59.6
Vulpes lagopus,MT068612,1353,0.755,44.5,47.2,39.2,47,57.9
Vulpes lagopus,MT068615,1353,0.758,44.5,47.7,39,46.8,59
Vulpes lagopus,AY854505,1353,0.764,44.1,47.5,39,45.7,56
Vulpes lagopus,AY854525,1353,0.764,44.2,47.7,39,45.9,55.7
Vulpes lagopus,AY854531,1353,0.767,44.2,47.9,39.2,45.5,54.5
Vulpes lagopus,AY854544,1353,0.77,44.5,47.7,39.2,46.6,55.8
Vulpes lagopus,AY854546,1353,0.77,44.5,47.7,39.2,46.6,55.5
Vulpes lagopus,AY854558,1353,0.762,44.8,47.5,39.2,47.7,55.6
Vulpes lagopus,AY854567,1353,0.756,44.8,48.1,39,47.2,55.9
Vulpes lagopus,AY854573,1353,0.759,44.4,48.1,39,46.1,55.6
Vulpes lagopus,AY854576,1353,0.765,43.9,47.9,39,44.8,54.5
Vulpes lagopus,AB284509,1353,0.767,44.9,47.9,38.8,48.1,53.2
Vulpes lagopus,AB284511,1353,0.768,44.9,47.7,38.8,48.1,53.2
Vulpes lagopus,AB284512,1353,0.765,44.9,47.9,38.8,47.9,53.3
Vulpes lagopus,AB284513,1353,0.768,44.9,47.7,38.8,48.1,52.2
Vulpes lagopus,AB284514,1353,0.768,44.9,47.7,38.8,48.1,53.5
Vulpes lagopus,EU853582,1353,0.763,44.7,48.1,39,47,52.8
Vulpes lagopus,EU853584,1353,0.758,44.6,48.3,38.8,46.6,52.4
Vulpes lagopus,EU853586,1353,0.76,44.5,48.3,38.8,46.3,52.2
Vulpes lagopus,EU853587,1353,0.756,44.2,48.1,38.8,45.7,51.4
Vulpes lagopus,EU853590,1353,0.756,44.1,48.1,38.6,45.7,51.8
Vulpes lagopus,HM179504,1353,0.755,44.1,48.1,39,45,53.8
Vulpes lagopus,HM179505,1353,0.757,44.6,48.1,39,46.6,53.3
Vulpes lagopus,HM179506,1353,0.766,44.5,48.1,38.8,46.6,52.9
Vulpes lagopus,KF155002,1353,0.767,44.9,48.1,38.6,48.1,53.4
Vulpes lagopus,KR534217,1353,0.765,44.6,48.1,38.8,47,52.8
Vulpes lagopus,KR534218,1353,0.764,44.6,48.1,38.8,46.8,52.8
Vulpes lagopus,KR534219,1353,0.755,43.8,47.9,38.6,45,52.3
Vulpes lagopus,KR534228,1353,0.754,43.9,47.9,38.6,45.2,52.8
Vulpes lagopus,KR534229,1353,0.763,44.7,48.1,38.8,47.2,54
Vulpes lagopus,KR534230,1353,0.752,44.3,48.1,38.8,46.1,52.8
Vulpes lagopus,KR534233,1353,0.762,44.6,48.1,38.8,47,53.9
Vulpes lagopus,KR534238,1353,0.753,43.8,47.9,38.6,45,52.8
Vulpes lagopus,KR534244,1353,0.763,44.7,48.1,38.8,47.2,53.9
Vulpes lagopus,KR534250,1353,0.763,44.9,48.1,38.8,47.7,53.8
Vulpes lagopus,KR534251,1353,0.753,43.9,47.9,38.6,45.2,52.7
Vulpes lagopus,KR534252,1353,0.749,44.1,47.9,38.6,45.7,52.7
Vulpes lagopus,KR534253,1353,0.764,44.6,48.1,38.8,46.8,53.4
Vulpes lagopus,KR906735,1353,0.761,44.9,48.3,38.8,47.5,54.4
Vulpes lagopus,KR906736,1353,0.76,44.8,48.3,38.8,47.2,54.5
Vulpes lagopus,KR906739,1353,0.759,44.1,47.9,38.6,45.7,52.9
Vulpes lagopus,KR906741,1353,0.76,44.4,48.1,38.8,46.3,53.8
Vulpes lagopus,KR906742,1353,0.766,44.9,48.1,38.8,47.9,53.9
Vulpes lagopus,KR906744,1353,0.758,44,47.9,38.6,45.5,53
Vulpes lagopus,KR906745,1353,0.767,44.6,47.9,38.8,47.2,53.4
Vulpes lagopus,KR906746,1353,0.754,44.1,48.1,38.8,45.2,52.2
Vulpes lagopus,KR906747,1353,0.755,44.2,48.1,38.8,45.7,52.3
Vulpes lagopus,KR906748,1353,0.76,43.5,47.5,38.8,44.3,54.3
Vulpes lagopus,KR906749,1353,0.76,44.4,47.9,38.8,46.6,53.7
Vulpes lagopus,KR906751,1353,0.755,44.2,48.1,38.6,45.9,52.5
Vulpes lagopus,KR906756,1353,0.764,44.8,48.1,38.8,47.5,53.7
Vulpes lagopus,KR906757,1353,0.76,44.2,48.1,38.4,46.1,52.2
Vulpes lagopus,KR906759,1353,0.753,43.9,47.9,38.6,45.2,53.2
Vulpes lagopus,KR906762,1353,0.768,44.9,47.9,38.8,47.9,54
Vulpes lagopus,KR906763,1353,0.762,44.8,48.1,38.8,47.5,54.3
Vulpes lagopus,KR906765,1353,0.763,44.9,48.3,38.8,47.7,55
Vulpes lagopus,KR906766,1353,0.76,44.9,48.3,38.8,47.5,54.4
Vulpes lagopus,KR906767,1353,0.762,44.6,48.1,38.8,47,53.3
Vulpes lagopus,KR906770,1353,0.75,44.1,47.9,38.8,45.7,53
Vulpes lagopus,KR906773,1353,0.764,44.6,48.1,38.8,47,54.4
Vulpes lagopus,KR906780,1353,0.764,44.6,48.1,38.8,47,53.4
Vulpes lagopus,KR906784,1353,0.749,44.2,47.9,38.8,45.9,53.2
Vulpes lagopus,KR906790,1353,0.752,44.4,48.3,38.6,46.3,53.1
Vulpes lagopus,KR906792,1353,0.764,45,48.3,38.8,47.9,53.8
Vulpes lagopus,KT336432,1353,0.762,44.6,47.9,39,47,53.4
Vulpes lagopus,KT336433,1353,0.763,44.4,48.1,39,46.1,53.1
Vulpes lagopus,KT336434,1353,0.761,44.9,48.1,39,47.7,52.9
Vulpes lagopus,KT336435,1353,0.76,44.2,47.9,39,45.7,53.7
Vulpes lagopus,KT336436,1353,0.759,44.4,47.9,39,46.3,53
Vulpes lagopus,KT336437,1353,0.76,44.3,47.9,39.2,45.7,54.4
Vulpes lagopus,KX148203,1353,0.755,44.6,48.1,39,46.6,53.1
Vulpes lagopus,KX148204,1353,0.756,43.9,47.9,39,44.8,52.2
Vulpes lagopus,KX148206,1353,0.757,43.9,47.9,38.6,45.2,53.5
Vulpes lagopus,KX148208,1353,0.762,44.3,47.9,38.8,46.1,53.2
Vulpes lagopus,KY210224,1353,0.764,44.9,48.1,38.8,47.9,53.9
Vulpes lagopus,KY210243,1353,0.764,44.8,48.1,38.8,47.5,53.7
Vulpes lagopus,KY210247,1353,0.761,44.8,48.1,38.8,47.5,54.1
Vulpes lagopus,KY210249,1353,0.763,44.8,48.1,38.8,47.5,53.9
Vulpes lagopus,KY210253,1353,0.75,43.8,47.9,38.8,44.8,53.1
Vulpes lagopus,KY210263,1353,0.752,44.3,48.1,38.6,46.3,53.2
Vulpes lagopus,KY210264,1353,0.754,44.1,47.9,38.8,45.7,52.9
Vulpes lagopus,KY210279,1353,0.75,44.2,48.1,38.8,45.7,53.4
Vulpes lagopus,KY210287,1353,0.764,44.6,48.1,38.8,46.8,53.4
Vulpes lagopus,KY210304,1353,0.751,44.2,47.9,38.8,45.9,53.1
Vulpes lagopus,KY563717,1353,0.759,45,48.3,39.2,47.5,52.9
Vulpes lagopus,LC029890,1353,0.759,44.2,47.7,38.8,46.1,53.6
Vulpes lagopus,MN726804,1353,0.766,44.9,48.1,38.6,47.9,53.7
Vulpes lagopus,MN726826,1353,0.766,44.8,47.9,38.8,47.7,54.1
Vulpes lagopus,MN726827,1353,0.766,44.9,47.9,38.8,47.9,54.1
Vulpes lagopus,MT454631,1353,0.762,44.7,47.9,39,47.2,53.6
Vulpes lagopus,MT454635,1353,0.764,44.6,47.9,39,47,53.2
Vulpes lagopus,MT454637,1353,0.763,44.8,47.9,39,47.5,53.4
Vulpes lagopus,MT454641,1353,0.762,44.6,47.9,39,46.8,53.5
Vulpes lagopus,MT454643,1353,0.753,44.3,48.3,39,45.5,51.6
Vulpes lagopus,MT454644,1353,0.758,44.1,48.1,38.8,45.2,51.9
Vulpes lagopus,MT454645,1353,0.753,44.2,48.3,39,45.2,51.6
Vulpes lagopus,OK317992,1353,0.764,44.2,48.1,39,45.5,51.6
Vulpes lagopus,OK317993,1353,0.764,44.3,48.1,39,45.9,51.6
Vulpes lagopus,OK317995,1353,0.763,44.1,48.1,39,45.2,51.7
Vulpes lagopus,OK317996,1353,0.763,44.1,48.1,39,45.2,51.6
Vulpes lagopus,OK317998,1353,0.763,44.3,48.3,39,45.5,52.3
Vulpes lagopus,OK317999,1353,0.76,44.1,48.3,39,44.8,51.4
Vulpes lagopus,OP375406,1353,0.764,44.9,48.1,39,47.5,54
Vulpes lagopus,OP375407,1353,0.765,44.9,48.1,38.6,47.9,54.1
Vulpes lagopus,OP375410,1353,0.764,44.9,48.1,38.8,47.9,53.8
Vulpes lagopus,OP375413,1353,0.766,44.9,47.9,38.8,47.9,54.2
Vulpes lagopus,OP375414,1353,0.768,44.5,47.9,38.8,46.8,53.2
Vulpes lagopus,OP375415,1353,0.767,44.6,47.9,38.8,47,53.5
Vulpes lagopus,OP375418,1353,0.766,44.9,47.9,38.8,47.9,54.1
Vulpes lagopus,OP375421,1353,0.763,44.7,48.1,38.8,47.2,53.9
Vulpes lagopus,OP375423,1353,0.758,44.5,48.1,38.8,46.6,54.3
Vulpes lagopus,OR045939,1353,0.761,43.8,47.7,38.8,44.8,54.3
Vulpes lagopus,OR045949,1353,0.765,44.7,48.1,38.8,47.2,53.3
Vulpes lagopus,OR270973,1353,0.767,44.6,47.9,38.8,47.2,54.8
Vulpes lagopus,OR270979,1353,0.765,44.6,48.1,38.8,47,55.3
Vulpes lagopus,OR270997,1353,0.767,44.6,47.9,38.8,47,54.7
Vulpes lagopus,OR270998,1353,0.767,44.6,47.7,38.8,47.2,54.4
Vulpes lagopus,OR270999,1353,0.767,44.7,47.9,38.8,47.5,54.4
Vulpes lagopus,OR271001,1353,0.767,44.6,47.9,38.8,47,54.8
Vulpes lagopus,OR271003,1353,0.767,44.6,47.7,38.8,47.2,54.4
Vulpes lagopus,PV855388,1353,0.759,44.4,47.9,39,46.3,53.4
Vulpes lagopus,PV855390,1353,0.758,44.6,48.1,39,46.8,53.3
Vulpes lagopus,PV855392,1353,0.759,44.5,47.9,39,46.6,53.5
Vulpes lagopus,PV855393,1353,0.762,44.3,47.7,38.8,46.6,53.5
Vulpes lagopus,PV855394,1353,0.76,44.4,47.7,39,46.6,53.6
Vulpes lagopus,PV855397,1353,0.758,44.5,48.1,39,46.3,53.4
Vulpes lagopus,PV855415,1353,0.759,44.6,48.1,39,46.6,53.2
Vulpes lagopus,EU345002,1353,0.777,44.3,46.8,38.8,47.5,57.7
Vulpes lagopus,EU345003,1353,0.77,44.2,46.8,38.8,47,58.9
Vulpes lagopus,EU345004,1353,0.77,44,46.8,38.8,46.3,58.4
Vulpes lagopus,JQ685938,1353,0.772,44.1,45.9,38.8,47.5,58
Vulpes lagopus,JQ685968,1353,0.772,43.8,45.9,38.8,46.8,58.6
Vulpes lagopus,MW055084,1353,0.777,44.3,46.8,38.4,47.7,57.1
Vulpes lagopus,MW055085,1353,0.776,44.4,47,38.6,47.7,57.1
Vulpes lagopus,MW055086,1353,0.774,44.1,45.9,39,47.2,57.7
Vulpes lagopus,MW055087,1353,0.775,44,45.7,38.8,47.5,58.2
Vulpes lagopus,AB519642,1353,0.775,43.5,46.3,39.9,44.3,55.4
Vulpes lagopus,AF070449,1353,0.776,44,46.3,40.1,45.5,56.1
Vulpes lagopus,AF351847,1353,0.771,43.7,46.3,40.1,44.6,56.8
Vulpes lagopus,AF351852,1353,0.772,43.5,46.1,39.9,44.6,55.4
Vulpes lagopus,AY854587,1353,0.775,43.8,46.1,40.6,44.6,55.9
Vulpes lagopus,AY854592,1353,0.777,44.1,46.3,39.9,46.1,56.5
Vulpes lagopus,AY854594,1353,0.779,44.1,46.3,39.9,46.1,56.3
Vulpes lagopus,AY877433,1353,0.778,44.6,46.3,40.4,47.2,55.5
Vulpes lagopus,AY877434,1353,0.773,43.6,46.3,39.9,44.6,56.8
Vulpes lagopus,AY877435,1353,0.777,43.7,46.6,39.9,44.6,55.9
Vulpes lagopus,GU592648,1353,0.779,43.3,46.1,39.9,43.9,55.6
Vulpes lagopus,KF656696,1353,0.783,43.8,46.3,39.9,45.2,56.1
Vulpes lagopus,KF864234,1353,0.776,44.3,46.6,40.1,46.3,56.1
Vulpes lagopus,KF864322,1353,0.772,44.3,46.6,40.1,46.1,56.9
Vulpes lagopus,KF864397,1353,0.767,43.6,46.6,39.7,44.6,56.5
Vulpes lagopus,KM594040,1353,0.773,43.7,46.1,39.9,45,56.5
Vulpes lagopus,KM594041,1353,0.783,43.5,46.1,39.9,44.6,53.4
Vulpes lagopus,KM594042,1353,0.775,44,46.1,39.9,45.9,56.9
Vulpes lagopus,KP202393,1353,0.774,43.6,46.6,39.7,44.6,56.4
Vulpes lagopus,KT023101,1353,0.782,43.5,46.3,39.7,44.3,53.7
Vulpes lagopus,MN968374,1353,0.779,44.5,46.1,39.9,47.5,56.7
Vulpes lagopus,MN968375,1353,0.779,44.6,46.3,39.9,47.5,56.8
Vulpes lagopus,MN968377,1353,0.779,44.6,46.3,39.9,47.5,56.6
Vulpes lagopus,MN968386,1353,0.779,44.6,46.3,39.9,47.7,56.7
Vulpes lagopus,MT891038,1353,0.774,43.6,45.9,39.5,45.5,55.5
Vulpes lagopus,MW249020,1353,0.777,43.9,46.1,39.9,45.7,56.3
Vulpes lagopus,MW579786,1353,0.776,43.2,46.3,39.9,43.2,55.4
Vulpes lagopus,MW579820,1353,0.773,43.2,46.3,39.9,43.2,55.5
Vulpes lagopus,MW579824,1353,0.782,44.2,46.1,40.1,46.3,55.9
Vulpes lagopus,MW579833,1353,0.773,43.2,46.3,39.9,43.2,55.3
Vulpes lagopus,PQ379829,1353,0.77,44.3,46.6,39.7,46.8,56.5
Vulpes lagopus,PQ379831,1353,0.778,43.7,45.2,40.4,45.5,54.6
Vulpes lagopus,PQ379832,1353,0.775,44.2,46.3,39.9,46.3,56
Vulpes lagopus,PQ379834,1353,0.778,44.7,46.6,39.7,47.9,56.3
Vulpes lagopus,PQ379836,1353,0.776,44.6,46.3,39.9,47.5,56.7
Vulpes lagopus,PQ379849,1353,0.777,43.7,46.1,40.1,44.8,55.8
Vulpes lagopus,PQ510120,1353,0.774,43.8,46.6,40.1,44.6,54.9
Vulpes lagopus,PQ603086,1353,0.772,44.3,46.3,39.7,46.8,56.4
Vulpes lagopus,PQ671599,1353,0.786,43.6,45.9,40.1,44.8,53.2
Vulpes lagopus,PQ671601,1353,0.786,43.4,46.1,40.1,43.9,52.2
Vulpes lagopus,AF351849,1353,0.78,43.3,45.7,39.7,44.6,56.3
Vulpes lagopus,AF394876,1353,0.781,43.6,45.9,39.9,45,55.8
Vulpes lagopus,GU644760,1353,0.781,43.1,45.7,39.5,44.1,55.9
Vulpes lagopus,GU644761,1353,0.779,43.3,45.7,39.7,44.6,56.1
Vulpes lagopus,GU644762,1353,0.779,43.1,45.5,39.7,44.1,56
Vulpes lagopus,GU644763,1353,0.781,43.2,45.7,39.5,44.3,55.9
