"","Accession","Clade","Year","Host","purines","purines1","purines2","purines3"
"90","JN974838","Asian SEA2a","2005","Canis familiaris",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"91","KT894558","Asian SEA2a","2005","Canis familiaris",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"92","GQ472477","Asian SEA2a","2006","Canis familiaris",0.527716186252772,0.631929046563193,0.483370288248337,0.467849223946785
"93","HM486369","Asian SEA2a","2006","Canis familiaris",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"94","JN974828","Asian SEA2a","2006","Canis familiaris",0.531411677753141,0.631929046563193,0.485587583148559,0.476718403547672
"95","JN974842","Asian SEA2a","2006","Canis familiaris",0.532150776053215,0.631929046563193,0.48780487804878,0.476718403547672
"96","EU828653","Asian SEA2a","2007","Canis familiaris",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"97","FJ866829","Asian SEA2a","2007","Canis familiaris",0.531411677753141,0.631929046563193,0.485587583148559,0.476718403547672
"98","FJ866830","Asian SEA2a","2007","Canis familiaris",0.532150776053215,0.631929046563193,0.48780487804878,0.476718403547672
"99","FJ866831","Asian SEA2a","2007","Canis familiaris",0.531411677753141,0.631929046563193,0.485587583148559,0.476718403547672
"100","GQ472468","Asian SEA2a","2007","Canis familiaris",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"101","GQ472470","Asian SEA2a","2007","Canis familiaris",0.530672579453067,0.629711751662971,0.483370288248337,0.478935698447894
"102","GQ472473","Asian SEA2a","2007","Canis familiaris",0.531411677753141,0.631929046563193,0.485587583148559,0.476718403547672
"103","HM486379","Asian SEA2a","2007","Canis familiaris",0.529194382852919,0.631929046563193,0.48780487804878,0.467849223946785
"104","HM486381","Asian SEA2a","2007","Canis familiaris",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"105","FJ561726","Asian SEA2a","2008","Canis familiaris",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"106","FJ561727","Asian SEA2a","2008","Canis familiaris",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"107","FJ561728","Asian SEA2a","2008","Canis familiaris",0.529194382852919,0.631929046563193,0.48780487804878,0.467849223946785
"108","HM486374","Asian SEA2a","2008","Canis familiaris",0.529194382852919,0.631929046563193,0.48780487804878,0.467849223946785
"109","JN974823","Asian SEA2a","2008","Canis familiaris",0.529194382852919,0.631929046563193,0.48780487804878,0.467849223946785
"110","JN974829","Asian SEA2a","2008","Canis familiaris",0.531411677753141,0.631929046563193,0.485587583148559,0.476718403547672
"111","JN974845","Asian SEA2a","2008","Canis familiaris",0.531411677753141,0.634146341463415,0.485587583148559,0.47450110864745
"112","JQ970480","Asian SEA2a","2008","Canis familiaris",0.530672579453067,0.631929046563193,0.485587583148559,0.47450110864745
"113","KT221107","Asian SEA2a","2009","Canis familiaris",0.529194382852919,0.627494456762749,0.483370288248337,0.476718403547672
"114","KT894572","Asian SEA2a","2010","Canis familiaris",0.529194382852919,0.631929046563193,0.48780487804878,0.467849223946785
"115","MG201879","Asian SEA2a","2010","Canis familiaris",0.529933481152993,0.631929046563193,0.48780487804878,0.470066518847007
"116","MG201880","Asian SEA2a","2010","Canis familiaris",0.529933481152993,0.631929046563193,0.48780487804878,0.470066518847007
"117","KT894573","Asian SEA2a","2011","Canis familiaris",0.528455284552846,0.631929046563193,0.48780487804878,0.465631929046563
"118","MG201919","Asian SEA2a","2011","Canis familiaris",0.531411677753141,0.631929046563193,0.48780487804878,0.47450110864745
"119","MG201884","Asian SEA2a","2012","Canis familiaris",0.530672579453067,0.629711751662971,0.485587583148559,0.476718403547672
"120","MG201921","Asian SEA2a","2012","Canis familiaris",0.530672579453067,0.629711751662971,0.485587583148559,0.476718403547672
"121","KT894577","Asian SEA2a","2013","Canis familiaris",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"122","KT894578","Asian SEA2a","2013","Canis familiaris",0.529933481152993,0.631929046563193,0.48780487804878,0.470066518847007
"123","KY451767","Asian SEA2a","2015","Canis familiaris",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"124","MN784132","Asian SEA2a","2016","Canis familiaris",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"125","DQ666289","Asian SEA2a","","Canis familiaris",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"126","DQ666290","Asian SEA2a","","Canis familiaris",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"127","JF819605","Asian SEA2a","","Canis familiaris",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"128","JF819615","Asian SEA2a","","Canis familiaris",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"129","FJ719755","Asian SEA2b","2008","ferret badger",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"130","FJ719753","Asian SEA2b","2008","ferret badger",0.527716186252772,0.629711751662971,0.485587583148559,0.467849223946785
"131","FJ719751","Asian SEA2b","2008","ferret badger",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"132","FJ712196","Asian SEA2b","2008","Chinese ferret badger",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"133","FJ712195","Asian SEA2b","2008","Chinese ferret badger",0.530672579453067,0.631929046563193,0.48780487804878,0.472283813747228
"134","JN974877","Asian SEA2b","2008","ferret badger",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"135","HQ118114","Asian SEA2b","2008","ferret badger",0.530672579453067,0.631929046563193,0.48780487804878,0.472283813747228
"136","GU647092","Asian SEA2b","2008","Melogale moschata (Chinese ferret badger)",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"137","FJ598135","Asian SEA2b","2008","Melogale moschata (Chinese Ferret badger)",0.529933481152993,0.631929046563193,0.485587583148559,0.472283813747228
"138","KP319191","Asian SEA2b","2009","Chinese ferret badger",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"139","KP319188","Asian SEA2b","2009","Chinese ferret badger",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"140","KP319187","Asian SEA2b","2009","Chinese ferret badger",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"141","KP319186","Asian SEA2b","2009","Chinese ferret badger",0.530672579453067,0.631929046563193,0.48780487804878,0.472283813747228
"142","KP319185","Asian SEA2b","2009","Chinese ferret badger",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"143","KF726852","Asian SEA2b","2009","Melogale moschata (ferret badger)",0.528455284552846,0.631929046563193,0.48780487804878,0.465631929046563
"144","KP319195","Asian SEA2b","2011","Chinese ferret badger",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"145","KP319194","Asian SEA2b","2011","Chinese ferret badger",0.530672579453067,0.631929046563193,0.48780487804878,0.472283813747228
"146","KP319193","Asian SEA2b","2011","Chinese ferret badger",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"147","KP319199","Asian SEA2b","2012","Chinese ferret badger",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"148","JQ950448","Asian SEA2b","2012","ferret badger",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"149","JQ950446","Asian SEA2b","2012","Melogale",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"150","KP319207","Asian SEA2b","2013","Chinese ferret badger",0.528455284552846,0.631929046563193,0.485587583148559,0.467849223946785
"151","KP319206","Asian SEA2b","2013","Chinese ferret badger",0.528455284552846,0.629711751662971,0.485587583148559,0.470066518847007
"152","KP319205","Asian SEA2b","2013","Chinese ferret badger",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"153","KP319204","Asian SEA2b","2013","Chinese ferret badger",0.529933481152993,0.631929046563193,0.485587583148559,0.472283813747228
"154","KP319203","Asian SEA2b","2013","Chinese ferret badger",0.529933481152993,0.631929046563193,0.48780487804878,0.470066518847007
"155","KP319201","Asian SEA2b","2013","Chinese ferret badger",0.529933481152993,0.631929046563193,0.48780487804878,0.470066518847007
"156","MT068615","Asian SEA2b","2017","ferret badger",0.527716186252772,0.629711751662971,0.485587583148559,0.467849223946785
"157","MT068612","Asian SEA2b","2017","ferret badger",0.529194382852919,0.631929046563193,0.485587583148559,0.470066518847007
"158","KP202393","Bats DR","1988","Desmodus rotundus",0.532889874353289,0.629711751662971,0.483370288248337,0.485587583148559
"159","KF864234","Bats DR","1994","Desmodus rotundus",0.532150776053215,0.629711751662971,0.483370288248337,0.483370288248337
"160","KF864322","Bats DR","2006","Desmodus rotundus",0.532889874353289,0.627494456762749,0.483370288248337,0.48780487804878
"161","MW579824","Bats DR","2006","Desmodus rotundus",0.534368070953437,0.627494456762749,0.483370288248337,0.492239467849224
"162","MW579833","Bats DR","2007","Desmodus rotundus",0.535107169253511,0.627494456762749,0.483370288248337,0.494456762749446
"163","KF864397","Bats DR","2008","Desmodus rotundus",0.535846267553585,0.629711751662971,0.483370288248337,0.494456762749446
"164","KT023101","Bats DR","2010","Desmodus rotundus",0.535107169253511,0.629711751662971,0.483370288248337,0.492239467849224
"165","KF656696","Bats DR","2012","Desmodus rotundus",0.533628972653363,0.629711751662971,0.483370288248337,0.48780487804878
"166","KM594040","Bats DR","2013","Desmodus rotundus",0.535846267553585,0.627494456762749,0.483370288248337,0.496674057649667
"167","KM594041","Bats DR","2013","Desmodus rotundus",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"168","KM594042","Bats DR","2013","Desmodus rotundus",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"169","MW579820","Bats DR","2013","Desmodus rotundus",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"170","MW579786","Bats DR","2014","Desmodus rotundus",0.537324464153732,0.636363636363636,0.483370288248337,0.492239467849224
"171","MT891038","Bats DR","2016","Desmodus rotundus",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"172","MW249020","Bats DR","2016","Desmodus rotundus",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"173","MN968374","Bats DR","2018","Desmodus rotundus",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"174","MN968375","Bats DR","2018","Desmodus rotundus",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"175","MN968377","Bats DR","2018","Desmodus rotundus",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"176","MN968386","Bats DR","2018","Desmodus rotundus",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"177","PQ379836","Bats DR","2021","Desmodus rotundus",0.539541759053954,0.636363636363636,0.483370288248337,0.498891352549889
"178","PQ379834","Bats DR","2022","Desmodus rotundus",0.537324464153732,0.636363636363636,0.483370288248337,0.492239467849224
"179","PQ671599","Bats DR","2022","Desmodus rotundus",0.535846267553585,0.634146341463415,0.481152993348115,0.492239467849224
"180","PQ671601","Bats DR","2022","Desmodus rotundus",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"181","PQ379829","Bats DR","2023","Desmodus rotundus",0.536585365853659,0.636363636363636,0.483370288248337,0.490022172949002
"182","PQ379831","Bats DR","2023","Desmodus rotundus",0.537324464153732,0.636363636363636,0.483370288248337,0.492239467849224
"183","PQ379832","Bats DR","2023","Desmodus rotundus",0.535107169253511,0.634146341463415,0.481152993348115,0.490022172949002
"184","PQ379849","Bats DR","2023","Desmodus rotundus",0.534368070953437,0.634146341463415,0.481152993348115,0.48780487804878
"185","PQ510120","Bats DR","2024","Desmodus rotundus",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"186","PQ603086","Bats DR","2024","Desmodus rotundus",0.535107169253511,0.634146341463415,0.481152993348115,0.490022172949002
"187","AB519642","Bats DR","","Desmodus rotundus",0.537324464153732,0.634146341463415,0.483370288248337,0.494456762749446
"188","AF070449","Bats DR","","Desmodus rotundus",0.534368070953437,0.634146341463415,0.481152993348115,0.48780487804878
"189","AF351847","Bats DR","","Desmodus rotundus",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"190","AF351852","Bats DR","","Desmodus rotundus",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"191","AY854587","Bats DR","","Desmodus rotundus",0.535107169253511,0.634146341463415,0.481152993348115,0.490022172949002
"192","AY854592","Bats DR","","Desmodus rotundus",0.535846267553585,0.636363636363636,0.481152993348115,0.490022172949002
"193","AY854594","Bats DR","","Desmodus rotundus",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"194","AY877433","Bats DR","","Desmodus rotundus",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"195","AY877434","Bats DR","","Desmodus rotundus",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"196","AY877435","Bats DR","","Desmodus rotundus",0.535107169253511,0.634146341463415,0.481152993348115,0.490022172949002
"197","GU592648","Bats DR","","Desmodus rotundus",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"198","GU644657","Bats EF-E2","2003","Eptesicus fuscus",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"199","GU644658","Bats EF-E2","2003","Eptesicus fuscus",0.535107169253511,0.634146341463415,0.481152993348115,0.490022172949002
"200","GU644659","Bats EF-E2","2003","Eptesicus fuscus",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"201","GU644660","Bats EF-E2","2003","Eptesicus fuscus",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"202","GU644661","Bats EF-E2","2003","Eptesicus fuscus",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"203","GU644662","Bats EF-E2","2003","Eptesicus fuscus",0.534368070953437,0.629711751662971,0.483370288248337,0.490022172949002
"204","GU644663","Bats EF-E2","2003","Eptesicus fuscus",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"205","GU644664","Bats EF-E2","2003","Eptesicus fuscus",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"206","GU644684","Bats EF-E2","2003","Eptesicus fuscus",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"207","GU644652","Bats EF-E2","2004","Eptesicus fuscus",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"208","GU644676","Bats EF-E2","2004","Eptesicus fuscus",0.534368070953437,0.634146341463415,0.481152993348115,0.48780487804878
"209","GU644677","Bats EF-E2","2004","Eptesicus fuscus",0.535107169253511,0.634146341463415,0.483370288248337,0.48780487804878
"210","GU644689","Bats EF-E2","2004","Eptesicus fuscus",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"211","GU644690","Bats EF-E2","2004","Eptesicus fuscus",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"212","GU644654","Bats EF-E2","2005","Eptesicus fuscus",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"213","GU644655","Bats EF-E2","2005","Eptesicus fuscus",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"214","GU644656","Bats EF-E2","2005","Eptesicus fuscus",0.535107169253511,0.634146341463415,0.481152993348115,0.490022172949002
"215","GU644665","Bats EF-E2","2005","Eptesicus fuscus",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"216","GU644666","Bats EF-E2","2005","Eptesicus fuscus",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"217","GU644667","Bats EF-E2","2005","Eptesicus fuscus",0.535107169253511,0.634146341463415,0.481152993348115,0.490022172949002
"218","GU644668","Bats EF-E2","2005","Eptesicus fuscus",0.535846267553585,0.634146341463415,0.481152993348115,0.492239467849224
"219","GU644669","Bats EF-E2","2005","Eptesicus fuscus",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"220","GU644670","Bats EF-E2","2005","Eptesicus fuscus",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"221","GU644671","Bats EF-E2","2005","Eptesicus fuscus",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"222","GU644695","Bats EF-E2","2005","Eptesicus fuscus",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"223","AF351828","Bats EF-E2","","Eptesicus fuscus",0.53880266075388,0.634146341463415,0.483370288248337,0.498891352549889
"224","AF351831","Bats EF-E2","","Eptesicus fuscus",0.538063562453806,0.634146341463415,0.483370288248337,0.496674057649667
"225","AF351832","Bats EF-E2","","Eptesicus fuscus",0.538063562453806,0.634146341463415,0.481152993348115,0.498891352549889
"226","AF351833","Bats EF-E2","","Eptesicus fuscus",0.538063562453806,0.634146341463415,0.483370288248337,0.496674057649667
"227","AF351855","Bats EF-E2","","Eptesicus fuscus",0.535846267553585,0.634146341463415,0.483370288248337,0.490022172949002
"228","AF351861","Bats EF-E2","","Eptesicus fuscus",0.533628972653363,0.634146341463415,0.481152993348115,0.485587583148559
"229","AF351862","Bats EF-E2","","Eptesicus fuscus",0.532150776053215,0.631929046563193,0.483370288248337,0.481152993348115
"230","AY039227","Bats EF-E2","","Eptesicus fuscus",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"231","AY039228","Bats EF-E2","","Eptesicus fuscus",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"232","AY039229","Bats EF-E2","","Eptesicus fuscus",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"233","GU644719","Bats LC","1998","Lasiurus cinereus",0.536585365853659,0.634146341463415,0.483370288248337,0.492239467849224
"234","GU644717","Bats LC","2004","Lasiurus cinereus",0.535846267553585,0.634146341463415,0.481152993348115,0.492239467849224
"235","GU644718","Bats LC","2004","Lasiurus cinereus",0.535846267553585,0.634146341463415,0.481152993348115,0.492239467849224
