sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate
KP319194	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2011	2011	2011	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX11-51
KP319195	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2011	2011	2011	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX11-109
KP319196	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2012	2012	2012	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX12-244
KP319197	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2012	2012	2012	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX12-477
KP319198	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2012	2012	2012	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX12-566
KP319199	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2012	2012	2012	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX12-603
KP319200	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2012	2012	2012	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX12-629
KP319201	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2013	2013	2013	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX13-09
KP319202	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2013	2013	2013	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX13-23
KP319203	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2013	2013	2013	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX13-36
KP319204	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2013	2013	2013	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX13-39
KP319205	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2013	2013	2013	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX13-112
KP319206	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2013	2013	2013	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX13-189
KP319207	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2013	2013	2013	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX13-235
KP319208	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2013	2013	2013	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX13-239
KP319209	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2013	2013	2013	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX13-300
KP319210	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2013	2013	2013	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX13-301
KP319211	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2013	2013	2013	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX13-302
KP319212	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2013	2013	2013	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX13-307
KP319213	AL_Asian_SEA2b	Asian SEA2b	CHN	China	-	2013	2013	2013	1353	30-May-2017	30-May-2017	Chinese ferret badger	-	JX13-331
