sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate
MN968378	AL_Bats_DR	Bats DR	MEX	Mexico	San Luis Potosi, Milagro	2018	2018	2018	1353	31-Mar-2020	31-Mar-2020	Desmodus rotundus	32121499	679
MN968379	AL_Bats_DR	Bats DR	MEX	Mexico	San Luis Potosi, Catedral	2018	2018	2018	1353	31-Mar-2020	31-Mar-2020	Desmodus rotundus	32121499	584
MN968380	AL_Bats_DR	Bats DR	MEX	Mexico	San Luis Potosi, Guadalcazar	2018	2018	2018	1353	31-Mar-2020	31-Mar-2020	Desmodus rotundus	32121499	604
MN968381	AL_Bats_DR	Bats DR	MEX	Mexico	San Luis Potosi, Milagro	2018	2018	2018	1353	31-Mar-2020	31-Mar-2020	Desmodus rotundus	32121499	678
MN968382	AL_Bats_DR	Bats DR	MEX	Mexico	San Luis Potosi, Guadalcazar	2018	2018	2018	1353	31-Mar-2020	31-Mar-2020	Desmodus rotundus	32121499	601
MN968383	AL_Bats_DR	Bats DR	MEX	Mexico	San Luis Potosi, Guadalcazar	2018	2018	2018	1353	31-Mar-2020	31-Mar-2020	Desmodus rotundus	32121499	605
MN968384	AL_Bats_DR	Bats DR	MEX	Mexico	San Luis Potosi, Milagro	2018	2018	2018	1353	31-Mar-2020	31-Mar-2020	Desmodus rotundus	32121499	677
MN968385	AL_Bats_DR	Bats DR	MEX	Mexico	San Luis Potosi, Catedral	2018	2018	2018	1353	31-Mar-2020	31-Mar-2020	Desmodus rotundus	32121499	576
MN968386	AL_Bats_DR	Bats DR	MEX	Mexico	San Luis Potosi, Guadalcazar	2018	2018	2018	1353	31-Mar-2020	31-Mar-2020	Desmodus rotundus	32121499	610
MN968387	AL_Bats_DR	Bats DR	MEX	Mexico	San Luis Potosi, La Loma	2018	2018	2018	1353	31-Mar-2020	31-Mar-2020	Desmodus rotundus	32121499	565
MT891038	AL_Bats_DR	Bats DR	PER	Peru	Cajamarca	2016	2016	2016	1494	28-Oct-2020	28-Oct-2020	Desmodus rotundus	-	6024_CAJ4
MW249020	AL_Bats_DR	Bats DR	PER	Peru	-	2016	2016	2016	1353	28-Mar-2021	08-Apr-2021	Desmodus rotundus	33562073	DesRot/Peru/HUA1_8012_SV_VBRV
MW249021	AL_Bats_DR	Bats DR	PER	Peru	-	2016	2016	2016	1353	28-Mar-2021	08-Apr-2021	Desmodus rotundus	33562073	DesRot/Peru/CAJ4_8364_SV_VBRV
