sequence.sequenceID	alignment.name	alignment.displayName	sequence.m49_country.id	sequence.m49_country.display_name	sequence.gb_place_sampled	sequence.collection_year	sequence.earliest_collection_year	sequence.latest_collection_year	sequence.gb_length	sequence.gb_create_date	sequence.gb_update_date	sequence.host	sequence.gb_pubmed_id	sequence.isolate
KR534247	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11923	06-Nov-2015	01-Nov-2016	Canis familiaris	27774283	RV2892
KR534249	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11917	06-Nov-2015	01-Nov-2016	Canis familiaris	27774283	RV2895
KR534250	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11923	06-Nov-2015	01-Nov-2016	Canis familiaris	27774283	RV2897
KR534251	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11923	06-Nov-2015	01-Nov-2016	Canis familiaris	27774283	RV2898
KR534252	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11923	06-Nov-2015	01-Nov-2016	Canis familiaris	27774283	RV2899
KR534253	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11922	06-Nov-2015	01-Nov-2016	Canis familiaris	27774283	RV2903
KR906734	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2008	2008	2008	11923	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2495.1
KR906735	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Morogoro region	2008	2008	2008	11903	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2498.1
KR906736	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Morogoro region	2008	2008	2008	11923	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2499.1
KR906737	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2008	2008	2008	11920	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2500.1
KR906739	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Arusha Region	2004	2004	2004	11923	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2502.1
KR906741	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Arusha Region	2003	2003	2003	11923	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2504.1
KR906742	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2009	2009	2009	11923	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2767.1
KR906743	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Dar es Salaam	2010	2010	2010	11914	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2770.1
KR906744	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Iringa region	2010	2010	2010	11914	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2771.1
KR906745	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Pwani region	2010	2010	2010	11914	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2773.1
KR906746	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Dar es Salaam	2010	2010	2010	11875	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2774.1
KR906747	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Iringa region	2010	2010	2010	11923	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2775.1
KR906748	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Chake chake	2010	2010	2010	11923	16-Apr-2016	06-Feb-2018	Canis familiaris	-	RV2776.1
KR906749	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Pemba island	2010	2010	2010	11878	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2777.1
KR906750	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Pemba island	2010	2010	2010	11854	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2778.1
KR906751	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Lindi region	2011	2011	2011	11915	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2780.1
KR906752	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Kusini Unguja	2011	2011	2011	11923	16-Apr-2016	06-Feb-2018	Canis familiaris	-	RV2782.1
KR906754	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Lindi region	2011	2011	2011	11865	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2784.1
KR906755	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11923	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2793.1
KR906756	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11923	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2799.1
KR906757	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Lindi region	2010	2010	2010	11890	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2807.1
KR906759	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Morogoro region	2010	2010	2010	11829	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2809.1
KR906760	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Morogoro region	2010	2010	2010	11920	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2810.1
KR906762	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Morogoro region	2010	2010	2010	11914	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2813.1
KR906763	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Morogoro region	2010	2010	2010	11920	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2814.1
KR906765	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Morogoro region	2010	2010	2010	11923	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2816.1
KR906766	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Pemba island	2010	2010	2010	11914	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2817.1
KR906767	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11914	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2861.1
KR906768	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11878	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2862.1
KR906769	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11923	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2871.1
KR906770	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11914	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2875.1
KR906771	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11923	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2894.1
KR906772	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11923	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2896.1
KR906773	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11923	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2900.1
KR906774	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11921	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2901.1
KR906776	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11923	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV2907.1
KR906780	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11920	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV3104.1
KR906782	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11919	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV3111.1
KR906783	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV3117.1
KR906784	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV3125.1
KR906789	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV3133.1
KR906790	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV3140.1
KR906791	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11874	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV3149.1
KR906792	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	16-Apr-2016	16-Apr-2016	Canis familiaris	-	RV3123.1
KT336432	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZAF	South Africa	-	2012	2012	2012	11923	18-Aug-2015	12-Oct-2015	Canis lupus familiaris	26430028	55612
KT336433	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZWE	Zimbabwe	-	1991	1991	1991	11923	18-Aug-2015	12-Oct-2015	Canis lupus familiaris	26430028	20034
KT336434	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZWE	Zimbabwe	-	1992	1992	1992	11923	18-Aug-2015	12-Oct-2015	Canis lupus familiaris	26430028	21057
KT336435	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZWE	Zimbabwe	-	1993	1993	1993	11923	18-Aug-2015	12-Oct-2015	Canis lupus familiaris	26430028	21467
KT336436	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZAF	South Africa	-	2012	2012	2012	11923	18-Aug-2015	12-Oct-2015	Canis lupus familiaris	26430028	33512
KT336437	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	ZAF	South Africa	-	2012	2012	2012	11923	18-Aug-2015	12-Oct-2015	Canis lupus familiaris	26430028	34312
KX148203	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	MOZ	Mozambique	-	1986	1986	1986	11801	28-Nov-2016	28-Nov-2016	Canis familiaris	-	86031MOZ
KX148204	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	NAM	Namibia	-	1992	1992	1992	11800	28-Nov-2016	28-Nov-2016	Canis familiaris	-	92030NAM
KX148205	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	RWA	Rwanda	-	1994	1994	1994	11801	28-Nov-2016	28-Nov-2016	Canis familiaris	-	94289RWA
KX148206	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	-	1996	1996	1996	11801	28-Nov-2016	28-Nov-2016	Canis familiaris	-	96013TAN
KX148208	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	CAF	Central African Republic	-	1992	1992	1992	11802	28-Nov-2016	28-Nov-2016	Canis familiaris	-	92029CAR
KY210222	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2009	2009	2009	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv2489
KY210223	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2007	2007	2007	11914	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv2497
KY210224	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2010	2010	2010	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv2786
KY210226	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11920	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv2859
KY210227	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11914	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv2863
KY210229	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv2867
KY210231	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv2870
KY210232	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv2873
KY210234	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11914	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv2878
KY210235	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv2879
KY210238	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv2882
KY210239	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv2883
KY210243	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11914	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv2887
KY210244	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11858	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv2888
KY210245	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3047
KY210247	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3049
KY210248	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3050
KY210249	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3051
KY210250	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11920	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3052
KY210251	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3053
KY210252	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3057
KY210253	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2013	2013	2013	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3058
KY210254	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2013	2013	2013	11922	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3059
KY210255	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2013	2013	2013	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3060
KY210256	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2013	2013	2013	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3061
KY210257	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2013	2013	2013	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3063
KY210258	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2013	2013	2013	11922	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3064
KY210260	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2013	2013	2013	11897	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3067
KY210263	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2013	2013	2013	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3071
KY210264	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2013	2013	2013	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3072
KY210265	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2013	2013	2013	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3073
KY210266	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2013	2013	2013	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3074
KY210267	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2013	2013	2013	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3075
KY210269	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2013	2013	2013	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3079
KY210270	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2013	2013	2013	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3080
KY210271	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2013	2013	2013	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3082
KY210272	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2013	2013	2013	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3084
KY210273	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2013	2013	2013	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3085
KY210278	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11920	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3092
KY210279	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11903	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3094
KY210280	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3096
KY210281	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3097
KY210282	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11869	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3098
KY210286	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2011	2011	2011	11922	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3103
KY210287	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11873	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3105
KY210288	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11922	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3109
KY210289	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11920	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3110
KY210290	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11920	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3113
KY210292	AL_Cosmopolitan_AF1b	Cosmopolitan AF1b	TZA	Tanzania	Serengeti District	2012	2012	2012	11923	03-Dec-2017	03-Dec-2017	Canis familiaris	-	rv3115
