Accession,Clade,Year,Host
GU644656,Bats EF-E2,2005,Eptesicus fuscus
GU644665,Bats EF-E2,2005,Eptesicus fuscus
GU644666,Bats EF-E2,2005,Eptesicus fuscus
GU644667,Bats EF-E2,2005,Eptesicus fuscus
GU644668,Bats EF-E2,2005,Eptesicus fuscus
GU644669,Bats EF-E2,2005,Eptesicus fuscus
GU644670,Bats EF-E2,2005,Eptesicus fuscus
GU644671,Bats EF-E2,2005,Eptesicus fuscus
GU644695,Bats EF-E2,2005,Eptesicus fuscus
AF351828,Bats EF-E2,,Eptesicus fuscus
AF351831,Bats EF-E2,,Eptesicus fuscus
AF351832,Bats EF-E2,,Eptesicus fuscus
AF351833,Bats EF-E2,,Eptesicus fuscus
AF351855,Bats EF-E2,,Eptesicus fuscus
AF351861,Bats EF-E2,,Eptesicus fuscus
AF351862,Bats EF-E2,,Eptesicus fuscus
AY039227,Bats EF-E2,,Eptesicus fuscus
AY039228,Bats EF-E2,,Eptesicus fuscus
AY039229,Bats EF-E2,,Eptesicus fuscus
GU644719,Bats LC,1998,Lasiurus cinereus
GU644717,Bats LC,2004,Lasiurus cinereus
GU644718,Bats LC,2004,Lasiurus cinereus
GU644720,Bats LC,2004,Lasiurus cinereus
JQ685947,Bats LC,2004,Lasiurus cinereus
GU644712,Bats LC,2005,Lasiurus cinereus
GU644713,Bats LC,2005,Lasiurus cinereus
GU644714,Bats LC,2005,Lasiurus cinereus
GU644715,Bats LC,2005,Lasiurus cinereus
GU644716,Bats LC,2005,Lasiurus cinereus
GU644721,Bats LC,2005,Lasiurus cinereus
AF351845,Bats LC,,Lasiurus cinereus
AF351846,Bats LC,,Lasiurus cinereus
AF351858,Bats LC,,Lasiurus cinereus
AF394883,Bats LC,,Lasiurus cinereus
AF394884,Bats LC,,Lasiurus cinereus
GU644765,Bats TB1,2002,Tadarida brasiliensis
GU644766,Bats TB1,2003,Tadarida brasiliensis
GU644767,Bats TB1,2003,Tadarida brasiliensis
GU644768,Bats TB1,2003,Tadarida brasiliensis
GU644769,Bats TB1,2003,Tadarida brasiliensis
GU644770,Bats TB1,2003,Tadarida brasiliensis
GU644771,Bats TB1,2003,Tadarida brasiliensis
GU644772,Bats TB1,2003,Tadarida brasiliensis
GU644773,Bats TB1,2003,Tadarida brasiliensis
GU644774,Bats TB1,2003,Tadarida brasiliensis
GU644784,Bats TB1,2003,Tadarida brasiliensis
GU644785,Bats TB1,2003,Tadarida brasiliensis
GU644786,Bats TB1,2003,Tadarida brasiliensis
GU644787,Bats TB1,2003,Tadarida brasiliensis
JQ685905,Bats TB1,2003,Tadarida brasiliensis
GU644775,Bats TB1,2004,Tadarida brasiliensis
GU644776,Bats TB1,2004,Tadarida brasiliensis
GU644777,Bats TB1,2004,Tadarida brasiliensis
GU644778,Bats TB1,2004,Tadarida brasiliensis
GU644779,Bats TB1,2004,Tadarida brasiliensis
GU644780,Bats TB1,2004,Tadarida brasiliensis
GU644781,Bats TB1,2004,Tadarida brasiliensis
GU644782,Bats TB1,2004,Tadarida brasiliensis
GU644788,Bats TB1,2004,Tadarida brasiliensis
GU644760,Bats TB1,2005,Tadarida brasiliensis
GU644761,Bats TB1,2005,Tadarida brasiliensis
GU644762,Bats TB1,2005,Tadarida brasiliensis
GU644763,Bats TB1,2005,Tadarida brasiliensis
GU644764,Bats TB1,2005,Tadarida brasiliensis
AF351849,Bats TB1,,Tadarida brasiliensis
AF394876,Bats TB1,,Tadarida brasiliensis
KX148203,Cosmopolitan AF1b,1986,Canis familiaris
KT336433,Cosmopolitan AF1b,1991,Canis familiaris
KT336434,Cosmopolitan AF1b,1992,Canis familiaris
KX148204,Cosmopolitan AF1b,1992,Canis familiaris
KX148208,Cosmopolitan AF1b,1992,Canis familiaris
KT336435,Cosmopolitan AF1b,1993,Canis familiaris
KY563717,Cosmopolitan AF1b,1994,Canis familiaris
EU853582,Cosmopolitan AF1b,1995,Canis familiaris
HM179506,Cosmopolitan AF1b,1996,Canis familiaris
KX148206,Cosmopolitan AF1b,1996,Canis familiaris
AB284509,Cosmopolitan AF1b,2000,Canis lupus familiaris
AB284511,Cosmopolitan AF1b,2000,Canis lupus familiaris
EU853590,Cosmopolitan AF1b,2000,Canis familiaris
EU853586,Cosmopolitan AF1b,2003,Canis familiaris
KR906741,Cosmopolitan AF1b,2003,Canis familiaris
AB284514,Cosmopolitan AF1b,2004,Canis lupus familiaris
EU853584,Cosmopolitan AF1b,2004,Canis familiaris
HM179505,Cosmopolitan AF1b,2004,Canis familiaris
KR906739,Cosmopolitan AF1b,2004,Canis familiaris
AB284512,Cosmopolitan AF1b,2005,Canis lupus familiaris
AB284513,Cosmopolitan AF1b,2005,Canis lupus familiaris
EU853587,Cosmopolitan AF1b,2006,Canis familiaris
HM179504,Cosmopolitan AF1b,2006,Canis familiaris
KR534219,Cosmopolitan AF1b,2007,Canis familiaris
OP375407,Cosmopolitan AF1b,2007,Canis familiaris
KR534217,Cosmopolitan AF1b,2008,Canis familiaris
KR534218,Cosmopolitan AF1b,2008,Canis familiaris
KR906735,Cosmopolitan AF1b,2008,Canis familiaris
KR906736,Cosmopolitan AF1b,2008,Canis familiaris
KR906742,Cosmopolitan AF1b,2009,Canis familiaris
OP375406,Cosmopolitan AF1b,2009,Canis familiaris
KF155002,Cosmopolitan AF1b,2010,Canis familiaris
KR534228,Cosmopolitan AF1b,2010,Canis familiaris
KR534229,Cosmopolitan AF1b,2010,Canis familiaris
KR534230,Cosmopolitan AF1b,2010,Canis familiaris
KR906744,Cosmopolitan AF1b,2010,Canis familiaris
KR906745,Cosmopolitan AF1b,2010,Canis familiaris
KR906746,Cosmopolitan AF1b,2010,Canis familiaris
KR906747,Cosmopolitan AF1b,2010,Canis familiaris
KR906748,Cosmopolitan AF1b,2010,Canis familiaris
KR906749,Cosmopolitan AF1b,2010,Canis familiaris
KR906757,Cosmopolitan AF1b,2010,Canis familiaris
KR906759,Cosmopolitan AF1b,2010,Canis familiaris
KR906762,Cosmopolitan AF1b,2010,Canis familiaris
KR906763,Cosmopolitan AF1b,2010,Canis familiaris
KR906765,Cosmopolitan AF1b,2010,Canis familiaris
KR906766,Cosmopolitan AF1b,2010,Canis familiaris
KY210224,Cosmopolitan AF1b,2010,Canis familiaris
KR534233,Cosmopolitan AF1b,2011,Canis familiaris
KR534238,Cosmopolitan AF1b,2011,Canis familiaris
KR534244,Cosmopolitan AF1b,2011,Canis familiaris
KR534250,Cosmopolitan AF1b,2011,Canis familiaris
KR534251,Cosmopolitan AF1b,2011,Canis familiaris
KR534252,Cosmopolitan AF1b,2011,Canis familiaris
KR534253,Cosmopolitan AF1b,2011,Canis familiaris
KR906751,Cosmopolitan AF1b,2011,Canis familiaris
KR906756,Cosmopolitan AF1b,2011,Canis familiaris
KR906767,Cosmopolitan AF1b,2011,Canis familiaris
KR906770,Cosmopolitan AF1b,2011,Canis familiaris
KR906773,Cosmopolitan AF1b,2011,Canis familiaris
KR906780,Cosmopolitan AF1b,2011,Canis familiaris
KY210243,Cosmopolitan AF1b,2011,Canis familiaris
KY210279,Cosmopolitan AF1b,2011,Canis familiaris
LC029890,Cosmopolitan AF1b,2011,Canis familiaris
KR906784,Cosmopolitan AF1b,2012,Canis familiaris
KR906790,Cosmopolitan AF1b,2012,Canis familiaris
KR906792,Cosmopolitan AF1b,2012,Canis familiaris
KT336432,Cosmopolitan AF1b,2012,Canis familiaris
KT336436,Cosmopolitan AF1b,2012,Canis familiaris
KT336437,Cosmopolitan AF1b,2012,Canis familiaris
KY210247,Cosmopolitan AF1b,2012,Canis familiaris
KY210249,Cosmopolitan AF1b,2012,Canis familiaris
KY210287,Cosmopolitan AF1b,2012,Canis familiaris
KY210304,Cosmopolitan AF1b,2012,Canis familiaris
KY210253,Cosmopolitan AF1b,2013,Canis familiaris
KY210263,Cosmopolitan AF1b,2013,Canis familiaris
KY210264,Cosmopolitan AF1b,2013,Canis familiaris
MN726804,Cosmopolitan AF1b,2015,Canis familiaris
MT454631,Cosmopolitan AF1b,2015,Canis familiaris
MT454635,Cosmopolitan AF1b,2015,Canis familiaris
OP375414,Cosmopolitan AF1b,2015,Canis familiaris
OP375415,Cosmopolitan AF1b,2015,Canis familiaris
OR045949,Cosmopolitan AF1b,2015,Canis familiaris
MN726826,Cosmopolitan AF1b,2016,Canis familiaris
MT454637,Cosmopolitan AF1b,2016,Canis familiaris
MT454641,Cosmopolitan AF1b,2016,Canis familiaris
OP375410,Cosmopolitan AF1b,2016,Canis familiaris
OP375413,Cosmopolitan AF1b,2016,Canis familiaris
OP375418,Cosmopolitan AF1b,2016,Canis familiaris
OP375421,Cosmopolitan AF1b,2016,Canis familiaris
OR045939,Cosmopolitan AF1b,2016,Canis familiaris
MN726827,Cosmopolitan AF1b,2017,Canis familiaris
MT454643,Cosmopolitan AF1b,2017,Canis familiaris
MT454644,Cosmopolitan AF1b,2017,Canis familiaris
MT454645,Cosmopolitan AF1b,2017,Canis familiaris
OK317992,Cosmopolitan AF1b,2017,Canis familiaris
OK317995,Cosmopolitan AF1b,2017,Canis familiaris
OK317998,Cosmopolitan AF1b,2017,Canis familiaris
OP375423,Cosmopolitan AF1b,2017,Canis familiaris
OK317993,Cosmopolitan AF1b,2018,Canis familiaris
OK317996,Cosmopolitan AF1b,2018,Canis familiaris
OK317999,Cosmopolitan AF1b,2018,Canis familiaris
OR270973,Cosmopolitan AF1b,2021,Canis familiaris
OR270979,Cosmopolitan AF1b,2022,Canis familiaris
OR270997,Cosmopolitan AF1b,2022,Canis familiaris
OR270998,Cosmopolitan AF1b,2022,Canis familiaris
OR270999,Cosmopolitan AF1b,2022,Canis familiaris
OR271001,Cosmopolitan AF1b,2022,Canis familiaris
OR271003,Cosmopolitan AF1b,2022,Canis familiaris
PV855388,Cosmopolitan AF1b,2022,Canis familiaris
PV855390,Cosmopolitan AF1b,2022,Canis familiaris
PV855392,Cosmopolitan AF1b,2022,Canis familiaris
PV855393,Cosmopolitan AF1b,2022,Canis familiaris
PV855394,Cosmopolitan AF1b,2022,Canis familiaris
PV855397,Cosmopolitan AF1b,2022,Canis familiaris
PV855415,Cosmopolitan AF1b,2022,Canis familiaris
AY854544,Cosmopolitan AM2a,2000,mongoose
AY854567,Cosmopolitan AM2a,2000,mongoose
AY854576,Cosmopolitan AM2a,2000,mongoose
AY854505,Cosmopolitan AM2a,2001,mongoose
AY854525,Cosmopolitan AM2a,2001,mongoose
AY854573,Cosmopolitan AM2a,2001,mongoose
AY854531,Cosmopolitan AM2a,2002,mongoose
AY854546,Cosmopolitan AM2a,2002,mongoose
AY854558,Cosmopolitan AM2a,2002,mongoose
JQ685938,RAC-SK SCSK,2009,Mephitis mephitis
JQ685968,RAC-SK SCSK,2009,Mephitis mephitis
MW055084,RAC-SK SCSK,2017,skunk
MW055085,RAC-SK SCSK,2017,skunk
MW055086,RAC-SK SCSK,2017,skunk
MW055087,RAC-SK SCSK,2017,skunk
EU345002,RAC-SK SCSK,,skunk
EU345003,RAC-SK SCSK,,skunk
EU345004,RAC-SK SCSK,,skunk
